'a'mi'qin'shu 阿米芹属
'zi'gong'cao'shu 子宫草属
'zi'hua'ju'tai'shu 紫花苣苔属
'zi'jin'long'shu 紫金龙属
'zi'jin'niu'ke 紫金牛科
'zi'jin'niu'shu 紫金牛属
'zi'jin'shu 紫堇属
'zi'jing'lan'shu 紫茎兰属
'zi'jing'mu'shu 紫荆木属
'zi'jing'shu 紫茎属
'zi'jing'shu 紫荆属
'zi'ju'shu 紫菊属
'zi'kuang'shu 紫矿属
'zi'lan'shu'shu 仔榄树属
'zi'lian'shu'shu 子楝树属
'zi'luo'lan'shu 紫罗兰属
'zi'ma'shu 紫麻属
'zi'mo'li'ke 紫茉莉科
'zi'mo'li'shu 紫茉莉属
'zi'ping'shu 紫萍属
'zi'qi'ke 紫萁科
'zi'qi'shu 紫萁属
'zi'que'hua'shu 紫雀花属
'zi'ran'qin'shu 孜然芹属
'zi'san'qin'shu 紫伞芹属
'zi'shu 梓属
'zi'su'shu 紫苏属
'zi'sui'huai'shu 紫穗槐属
'zi'tan'shu 紫檀属
'zi'teng'shu 紫藤属
'zi'tong'cao'shu 紫筒草属
'zi'wan'mu'shu 紫菀木属
'zi'wan'shu 紫菀属
'zi'wei'ke 紫葳科
'zi'wei'shu 紫薇属
'zi'yu'pan'shu 紫玉盘属
'zi'yun'cai'shu 紫云菜属
'zi'zhu'shu 紫珠属
'zong'bao'cao'shu 总苞草属
'zong'lv'ke 棕榈科
'zong'lv'shu 棕榈属
'zong'wei'cao'shu 鬃尾草属
'zong'ye'lu'shu 粽叶芦属
'zong'zhu'shu 棕竹属
'zu'zhu'lan'shu 足柱兰属
'zuan'di'feng'shu 钻地风属
'zuan'hui'lan'shu 钻喙兰属
'zuan'mao'jue'shu 钻毛蕨属
'zuan'tian'liu'shu 钻天柳属
'zuan'zhu'lan'shu 钻柱兰属
'zui'hun'teng'shu 醉魂藤属
'zui'yu'cao'shu 醉鱼草属
'zuo'jiang'cao'ke 酢浆草科
'zuo'jiang'cao'shu 酢浆草属
'zuo'mu'shu 柞木属
