'a'du'li'yu'fo'shen'tong 阿闍梨与佛身同
'xiang'sou'shui'si'qing 香搜睡思轻
'xiang'sui'ji'gu'mo 相随几汩没
'xiang'tan'chun'shui'man 湘潭春水满
'xiang'xi'dao'lin'si'tao'tai'wei'jing 湘西道林寺陶太尉井
'xiang'xi'si'zui'ling 湘西寺最灵
'xiang'xi'ti'shi'chu 向夕题诗处
'xiang'xia'qi'can'jun 相狎岂惭君
'xiang'xie'qi 相携泣
'xiang'xin'zi'yi'zhe'gu'sheng 乡心自忆鹧鸪声
'xiang'xun'jiang'dao'shang 相寻江岛上
'xiang'xun'ru'luan'hao 相寻入乱蒿
'xiang'xun'wei'xiang'jian 相寻未相见
'xiang'yan'meng'meng'xiang'shui'ji 湘烟濛濛湘水急
'xiang'yi'geng'he'yan 相忆更何言
'xiang'yi'meng'ying'qing 相忆梦应清
'xiang'yi'rao'cha'cong 相忆绕茶丛
'xiang'yi'yan'cheng'qun 相忆雁成群
'xiang'yi'zi'cheng'cong 相倚自成丛
'xiang'ying'fu'kan'xiang 香影浮龛象
'xiang'yu'fen'bei'qin 相于分倍亲
'xiang'yue'zai'chun'tai 相约在春台
'xiang'zhao'de'ju'shi 相招得句时
'xiang'zhao'duo'shi'xiu'cai'shu 相招多是秀才书
'xiang'zhi'mian'wei'ceng 相知面未曾
'xiang'zhi'zai'xuan'qi 相知在玄契
'xiang'zhong'chun'xing 湘中春兴
'xiang'zhong'gan'huai 湘中感怀
'xiang'zhong'song'weng'yuan'wai'gui'min 湘中送翁员外归闽
'xiang'zhong'yu'ju'chun'ri'gan'huai 湘中寓居春日感怀
'xiao'chuang'jing'jue'xiang'qiu'feng 晓窗惊觉向秋风
'xiao'cui'shi'chuang'ming 晓翠湿窗明
'xiao'de'er'gong'xin 销得二公心
'xiao'de'ge'shen'xin 消得个身心
'xiao'de'ku'mo'yan 消得苦磨研
'xiao'de'qing'cheng'qian'zhang'xia 销得青城千嶂下
'xiao'hao'lao'sheng'xuan'zhu'kong 销耗劳生旋逐空
'xiao'jian'cai'mai'yu 小谏才埋玉
'xiao'kan'you'chuang'xiang'jiu'feng 小槛幽窗想旧峰
'xiao'lai'zhi'shang'qian'ban'yu 晓来枝上千般语
'xiao'nian'xing'dao'rao 小年行道绕
'xiao'ren'xin'li'cang'beng'tuan 小人心里藏崩湍
'xiao'sa'wu'fang'geng'ti'chu 潇洒无妨更剃除
'xiao'san'lu'jing'tai 萧散露荆台
'xiao'sao'wei'yue'ye 萧骚微月夜
'xiao'se'bian'cang'lang 晓色遍沧浪
'xiao'shu'qi'xian'tong'shi'jing 晓漱气嫌通市井
'xiao'ta'gao'wo'bi'chan'yan 笑他高卧碧孱颜
'xiao'wo'lao'shuang'lin 笑我老双林
'xiao'xiang'ceng'su'hua'shi'ping 潇湘曾宿话诗评
'xiao'xiang'duo'sheng'yi 潇湘多胜异
'xiao'xiang'er'shi'yun 潇湘二十韵
'xiao'xiang'kuo'jin'men 潇湘阔浸门
'xiao'xiang'pu'nuan'quan'mi'he 潇湘浦暖全迷鹤
'xiao'xiang'yi'ye'kong 潇湘一夜空
'xiao'xiang'zai'he'chu 潇湘在何处
'xiao'xiao'luo'wan'feng 萧萧落晚风
'xiao'xiao'yi'yan'jing 翛翛一雁经
'xiao'xie'kong'cheng'qiu 销歇恐成秋
'xiao'xie'xiang'chen'ai 销歇向尘埃
'xiao'yan'ning'qi'zi 晓烟凝气紫
'xiao'yao'fei'su'qu 逍遥非俗趣
'xiao'yao'xiang'shui'shuo 逍遥向谁说
'xiao'yao'yi'juan'jing 逍遥一卷经
'xiao'zi'sheng'ming'tian'xia'zhi 小子声名天下知
'xie'dao'you'zhu'zhang 谢道友拄杖
'xie'ding'xiu'cai'jian'shi'fu'juan 谢丁秀才见示赋卷
'xie'fen'xi'zhao'guang 斜分夕照光
'xie'gao'nian'xian'bei'ji'xin'chang'he'ji 谢高辇先辈寄新唱和集
'xie'gong'xin'luan'ru'wu'fang 谢公心乱入无方
'xie'guan'wei'shang'ren'ji'shi'gu'feng'jin'ti'si'zhou 谢贯微上人寄示古风今体四轴
'xie'huai'shi'wu'shou'shang'nan'ping'wang 写怀诗五首上南平王
'xie'hui'shang'ren'jian'hui'er'long'zhang'zi 谢徽上人见惠二龙障子
'xie'jiang'da'fu'kua 携将大府夸
'xie'jiang'yan'jian'xuan'yan'ge 写将偃蹇悬烟阁
'xie'jin'shi'shen'bin'zai'fang 谢进士沈彬再访
'xie'jing'mu'sun'lang'zhong'jian'shi 谢荆幕孙郎中见示
'xie'ju'zhou'ren'ji'ju 谢橘洲人寄橘
'xie'lai'lu'ji'qian 携来路几千
'xie'lai'lv'yun'qing'he'shen 携来律韵清何甚
'xie'lai'qi'yu'zuo'chan'chuang 携来乞与坐禅床
'xie'nan'ping'wang'ci'shan'ji 谢南平王赐山鸡
'xie'ou'yang'shi'lang'ji'shi'xin'ji 谢欧阳侍郎寄示新集
'xie'qin'fu'tui'guan'ji'dan'tai'ji 谢秦府推官寄丹台集
'xie'qu'si'wen'ji'wo'lai 写取斯文寄我来
'xie'qu'xiang'jiang'wen'gu'se 携去湘江闻鼓瑟
'xie'qu'yi'xiang'xun 携取一相寻
'xie'ren'hui'dan'yao 谢人惠丹药
'xie'ren'hui'duan'xi'yan 谢人惠端溪砚
'xie'ren'hui'shan'zi'ji'cha 谢人惠扇子及茶
'xie'ren'hui'shi'cai'zi'tu 谢人惠十才子图
'xie'ren'hui'shi'se'hua'jian'bing'qi'zi 谢人惠十色花笺并棋子
'xie'ren'hui'yao 谢人惠药
'xie'ren'hui'zhi 谢人惠纸
'xie'ren'hui'zhu'ying'fu 谢人惠竹蝇拂
'xie'ren'hui'zhu'zhang 谢人惠拄杖
'xie'ren'hui'zi'li'zhu'zhang 谢人惠紫栗拄杖
'xie'ren'ji'nan'liu'zhuo'zi 谢人寄南榴卓子
'xie'ren'ji'xin'shi'ji 谢人寄新诗集
'xie'ren'mo 谢人墨
'xie'ren'zi'zhong'ling'ji'zhi'bi 谢人自钟陵寄纸笔
'xie'shou'hu'xi'qiao 携手虎溪桥
'xie'shou'tong'xun'lie'xian'shi 携手同寻列仙事
'xie'sun'lang'zhong'ji'shi 谢孙郎中寄示
'xie'wang'shi'yi'jian'fang'jian'ji'pian'shi 谢王拾遗见访兼寄篇什
'xie'wang'xian'bei'ji'zhan 谢王先辈寄毡
'xie'wang'xian'bei'kun'di 谢王先辈昆弟
'xie'wang'xian'bei'xiang'zhong'hui'hui'shi'juan'zhou 谢王先辈湘中回惠示卷轴
'xie'wang'xiu'cai'jian'shi'shi'juan 谢王秀才见示诗卷
'xie'wang'zhan'shi'chui'fang 谢王詹事垂访
'xie'wu'ling'xu'xun'guan'yuan'ji'wu'qi'zi'shi'ji 谢武陵徐巡官远寄五七字诗集
'xie'xi'chuan'ke'zhun'shang'ren'yuan'ji'shi'ji 谢西川可准上人远寄诗集
'xie'xi'chuan'tan'yu'da'shi'yu'zhu'zhuan'shu 谢西川昙域大师玉箸篆书
'xie'xiang'hai'zhong'cen 携向海中岑
'xie'xing'gong'shang'ren'ji'shan'shui'cu'zi 谢兴公上人寄山水簇子
'xie'xing'san'shi'nian'yin'ban 携行三十年吟伴
'xie'xing'xian'zhen'hui 偕行藓阵隳
'xie'xu'zhong'ji'xin'shi 谢虚中寄新诗
'xie'xu'zhong'shang'ren'ji'shi'ti'tian'ce'ge'shi 谢虚中上人寄示题天策阁诗
'xie'xu'zhong'shang'ren'wan'qiu'jian'ji 谢虚中上人晚秋见寄
'xie'yin'fu'jing'mian'song'cang'xiu'shang'ren'er'shou 谢阴符经勉送藏休上人二首
'xie'yong'hu'cha 谢灉湖茶
'xie'yuan'pi 谢猿皮
'xie'yuan'yuan'shang'ren'yuan'ji'tan'xi'ji 谢元愿上人远寄檀溪集
'xie'zhong'shang'ren'ji'cha 谢中上人寄茶
'xie'zhong'yuan'jiu'shan'shui'zhang'zi 谢重缘旧山水障子
'xie'zhu'ren'shi'sun 谢主人石笋
'xin'bai'wei'neng'wang'shui'yue 心白未能忘水月
'xin'bu'shi'ta'xin 心不是他心
'xin'chao'jiu'gui'tang 新朝旧桂堂
'xin'chao'shi'jian'wen 新朝事渐闻
'xin'chou'jin'tuo'kan 新抽锦箨看
'xin'en'yi'wang'nian 新恩异往年
'xin'fen'qing'zhang'die 新坟青嶂叠
'xin'hong'xuan'xi'pu 新鸿喧夕浦
'xin'hun'xiang'zi'ning 心魂向自宁
'xin'hun'yi'yi'bu'ceng'gui 心魂役役不曾归
'xin'ji'gong'shi'zheng'ji'xu 心迹共师争几许
'xin'ji'he'yi'xing 心机何以兴
'xin'ji'quan'wang'pian'yue'tong 心迹全忘片月同
'xin'mo'wen'duo'qi 心莫问多岐
'xin'nian'bing'wei'chu 新年病未除
'xin'pi'yi'san'shu 心脾亦散摅
'xin'qi'zhong'xi'qu 心期重西去
'xin'qing'kan'di'xiao'xiang'yue 心清槛底潇湘月
'xin'qiu'bing'zhong'zhen'shang'wen'chan 新秋病中枕上闻蝉
'xin'qiu'geng'yu'zheng 新秋更郁蒸
'xin'qiu'gui'bai'liang 新秋桧柏凉
'xin'qiu'ji'hou'wan'tiao'huai'xian'gong 新秋霁后晚眺怀先公
'xin'qiu'yu'hou 新秋雨后
'xin'ren'duan'chang'tou'yu'geng 心任短长投玉绠
'xin'shi'bu'ran'hui 心是不然灰
'xin'shi'wu'shi'pian 新诗五十篇
'xin'shi'xiang'ren'kan'jie'she 新事向人堪结舌
'xin'shi'yi'wo'bie 新诗遗我别
'xin'shou'cheng'chong'die 信手成重叠
'xin'shu'sheng'jia'man'huang'dou 新书声价满皇都
'xin'si'xu'kong'ji'chu'fen 心似虚空几处分
'xin'ti'hu'ba'lun 新题互把论
'xin'ti'sui'you'ji 新题虽有寄
'xin'ti'yi'shan'chui 新题忆剡硾
'xin'wai'mi'chang'sheng 心外觅长生
'xin'xian'chu'lei'sheng 心嫌触类生
'xin'xian'pen'chi'huan'bai'lian 新陷盆池换白莲
'xin'xiang'yi'xiang'chuan 馨香亦相传
'xin'xin'qu'ji'liao 心心趣寂寥
'xin'xin'yuan'jing'kou'yuan'zi 心心缘经口缘字
'xin'xiu'bai'shi'qiao 新修白石桥
'xin'xiu'hua'ku'xin 心休话苦心
'xin'yin'fu'zao'wei 新吟复造微
'xin'yin'hu'you'ji 新吟忽有寄
'xin'yue'ru'mei'sheng'kuo'shui 新月如眉生阔水
'xin'zai'song 新栽松
'xin'zhong'jiu'bi'luo 心中旧薜萝
'xin'zhong'shen'wai'geng'he'cai 心中身外更何猜
'xin'zhu'jiang'shui'que'zhong'qing 新竹将谁榷重轻
'xin'zuo'wei'ceng'ping 新作未曾评
'xing'cang'yi'shi 行藏以时
'xing'chen'an'ma'qian 行尘暗马前
'xing'ci'yi'chun'ji'xiang'xi'zhu'you 行次宜春寄湘西诸友
'xing'fu'quan'cai'chang 幸附全材长
'xing'hai'bu'yi'xing 行还不易行
'xing'hai'liu'shi'yu 形骸六十馀
'xing'hao'qing'guang'li 幸好清光里
'xing'jing'xie'chuan'xia'cai'qi 行径斜穿夏菜齐
'xing'ke'qian'kui'yan'yi'chi 行客潜窥眼亦痴
'xing'lang'shu'si'jiu'ping'lan 星郎属思久凭栏
'xing'lang'yi'shi'chuan 星郎亦逝川
'xing'lang'you'jia'yong 星郎有佳咏
'xing'lu'nan 行路难
'xing'qin'wu'zhu'bing 兴寝无诸病
'xing'qing'jing 性清净
'xing'qu'bu'fang'gui'jing'lv 兴去不妨归静虑
'xing'rong'hun'shou'xue 形容浑瘦削
'xing'rong'qi'he'qin'gong'zi 形容岂合亲公子
'xing'rong'qin'lao'bing 形容侵老病
'xing'seng'jin'qu'yun'shan'yuan 行僧尽去云山远
'xing'seng'qu'xiang'shui 行僧去湘水
'xing'shan'bu'na'he 腥膻不那何
'xing'shan'di'ju'ying 腥膻地聚蝇
'xing'shan'shi'li'jiao'jia'chang 腥膻市里叫家常
'xing'si'bu'bu'bing 行思步步冰
'xing'sui'ti'chu'zhu'tai'ban 兴随题处著苔斑
'xing'tai'bang'hu'xi 行苔傍虎溪
'xing'tai'ta'lan'hong 行苔踏烂红
'xing'wei'zuo'rao'tong'yi'se 行围坐绕同一色
'xing'wu'ming'li'lu'xiang'mi 幸无名利路相迷
'xing'xin'ning'ken'zhu 行心宁肯住
'xing'xin'qi'de'jian'qiu'feng 行心乞得见秋风
'xing'xing'xue'po'di'di'cong 猩猩血泼低低丛
'xing'yi'yu'dian'ban 行衣雨点斑
'xing'ying'geng'shui'qin 形影更谁亲
'xing'ying'teng'teng'xi'yang'li 形影腾腾夕阳里
'xing'zhi'qiang'qian'tuo 行止强牵拖
'xing'zuo'chi'song'feng 行坐赤松风
'xiong'di'duan'xiao'xi 兄弟断消息
'xiong'di'tong'you'qu 兄弟同游去
'xiong'fang'chui'pu'lue 雄方垂朴略
'xiu'ba'yun'xing'tui 休把运行推
'xiu'jue'jing'xin'ji 嗅觉精新极
'xiu'lai'gou'ling'ban'chui'sheng 袖来缑岭伴吹笙
'xiu'qing'mao'nv'xia 秀轻毛女下
'xiu'sha'qiang'wei'dian'sui'cong 羞杀蔷薇点碎丛
'xiu'shuo'xie'jia'gui'jing'hu 休说携家归镜湖
'xiu'wei'fan'zhao'yin 休为反招隐
'xiu'wen'meng'zhuang'cai'bu'cai 休问蒙庄材不材
'xiu'wen'tu'cheng'xue'xi'chang 休问图澄学洗肠
'xiu'xin'ruo'si'yi'ye'she 修心若似伊耶舍
'xiu'xiu'gong'sui'han 修修共岁寒
'xu'bin'san'fen'bai'er'fen 须鬓三分白二分
'xu'chuang'ri'zhao'jing 虚窗日照经
'xu'chuang'ying'bi'ya 虚窗萦笔雅
'xu'dai'tuo'luo'ni'you'gong 须待陀罗尼有功
'xu'fang'zhi'fo'zhe 须防知佛者
'xu'fu'min'e'lao'seng'yue 虚负岷峨老僧约
'xu'huai'ji'gao'tui'guan 叙怀寄高推官
'xu'jiao'zhi'gong'shou 须教至公手
'xu'jiao'zuo'tong'xiu 虚教作铜臭
'xu'kan'han'chui'xia'jing'shen 虚槛寒吹夏景深
'xu'kan'nan'shan'xia 须看南山下
'xu'shi'zuo'wang'xin'zui'zhen 虚室坐忘心最真
'xu'song'zi'shen'gui'hua'yue 许送自身归华岳
'xu'tang'bi'fu'kai 虚堂闭复开
'xu'xia'you'yin'seng 许下有吟僧
'xu'zhi'yi'yi'zhang'fu'qi 须知一一丈夫气
'xuan'chuang'zhong'ye'se 轩窗中夜色
'xuan'deng'xiang'hou'wei'ming'mo 悬灯向后惟冥默
'xuan'hua'jin'xiao'cheng'lou'di 喧滑尽消城漏滴
'xuan'huan'zhan'tan'jiu'yin'hui 旋换旃檀旧印灰
'xuan'mo'bu'xiang'ying 喧默不相应
'xuan'wen'jing'ye'pi 玄文静夜披
'xuan'zhu'yu'hong'yu 玄珠与虹玉
'xue'bin'han'shu'luo'ti'dao 雪鬓寒疏落剃刀
'xue'chang'song'cheng'ge 雪长松柽格
'xue'feng'chui'qu'yan'ao'ao 雪风吹去雁嗷嗷
'xue'feng'xue'feng'gao'qie'xiong 雪峰雪峰高且雄
'xue'gong'bin'liao'dui'yu'shan 雪共宾寮对玉山
'xue'jin'shi'jian'nan'xue'shi 学尽世间难学事
'xue'lang'lai'wu'ding 雪浪来无定
'xue'li'ceng'mi'wo 雪里曾迷我
'xue'ling'bai'niu'jun'shi'wu 雪岭白牛君识无
'xue'man'song'shan'shi'shang'tai 雪满松杉始上台
'xue'man'zhu'feng'huo'yi'lu 雪满诸峰火一炉
'xue'se'shan'yi'jue'dian'chen 雪色衫衣绝点尘
'xue'shan'zhen'zi'bi'tang'xiu 雪山真子鄙汤休
'xue'shen'hua'lu'zai'an'zhong 雪深花鹿在庵中
'xue'shuang'xiao'hou'se 雪霜消后色
'xue'ta'di'zhe'wu'hou'men 学他低折五侯门
'xue'wai'jian'song'ping 雪外兼松凭
'xue'xi'gao'feng'bi'duan'gen 雪洗高峰碧断根
'xue'xian'di'zi'cen'ci'ru 学仙弟子参差入
'xue'xiang'la'fei'pin 雪向腊飞频
'xue'xiao'tian'wai'bi 雪消天外碧
'xue'yue'wei'wang'zhao'yuan'ke 雪月未忘招远客
'xue'yun'chao'fei'ju'yun'xin 雪韵朝飞句韵新
'xue'zhan'jiang'can'la 雪湛将残腊
'xun'bian'zu'ge'mao 寻便阻戈矛
'xun'chang'feng'yu'ye 寻常风雨夜
'xun'chang'ji'yan'fei 寻常即掩扉
'xun'chang'qiu'fan'jiang'ling'qu 寻常秋泛江陵去
'xun'chang'ru'hai'gong'long'dou 寻常入海共龙斗
'xun'chang'shui'bing'ma 寻常谁并马
'xun'chang'xi'wang'gu'yuan'shi 寻常西望故园时
'xun'chang'zai'yan'qian 寻常在眼前
'xun'lai'die'lu'chang 寻来蝶路长
'xun'qu'wei'ying'lao'shang'xia 寻去未应劳上下
'xun'seng'gu'si'yan'sha'an 寻僧古寺沿沙岸
'xun'seng'jiu'ban'xing 寻僧酒半醒
'xun'seng'shi'deng'lin'tian'jing 寻僧石磴临天井
'xun'si'dao'he'chu 寻思到何处
'xun'si'luan'feng'ding 寻思乱峰顶
'xun'si'zhang'an'jian 寻思章岸见
'xun'yang'dao'zhong'zuo 寻阳道中作
'xun'ying'bao'xiu'ma 寻应报休马
'xun'ying'tong'tui'ke 寻应同蜕壳
'xun'you'bi'you'seng'xiang'zhi 寻幽必有僧相指
'ya'dao'geng'chong'guang 雅道更重光
'ya'gen'she'gen'shui'di'han 牙根舌根水滴寒
'ya'han'pu'liu'gan 崖旱瀑流干
'ya'he'ci'jun'sheng 雅合此君声
'ya'leng'nie'ji'sheng 崖棱蹑屐声
'ya'qi'chun'lu'cai'hua'huang 压畦春露菜花黄
'ya'song'chu'wu'tang 雅颂出吾唐
'yan'an'xin'hai'bai 眼暗心还白
'yan'bi'bai'ri'lun 掩蔽白日轮
'yan'bi'ceng'ceng'ying'shui'tian 檐壁层层映水天
'yan'bing'ru'jian'bi 研冰濡谏笔
'yan'bo'qing'kuo'diao'shi'chuan 烟波晴阔钓师船
'yan'cun'cu'shu'qi 烟村簇树齐
'yan'cun'shu'yin'dan 烟村蔬饮淡
'yan'di'xi'pian'zhou 檐底系扁舟
'yan'fei'cang'mang'jian 烟飞苍莽间
'yan'gong'shao'nian'zhen'fa'qi 言公少年真法器
'yan'gui'zhi'tiao'fu'shi'ti 岩桂枝条拂石梯
'yan'he'jiang'niao'yu 燕和江鸟语
'yan'hua'bu'chen'wo'zhui'xun 烟花不称我追寻
'yan'ju'he'liu'zhuo 雁聚河流浊
'yan'kai'yan'bi'xi 岩开岩壁西
'yan'lang'sheng'si'ku 烟浪声似哭
'yan'ling'diao'tai 严陵钓台
'yan'liu'cai'ban'yue 淹留才半月
'yan'liu'shao'xue'shuang 淹留少雪霜
'yan'liu'sheng'he'bao 檐溜声何暴
'yan'liu'xian'jing'wan 淹留仙境晚
'yan'man'chen'ai'dian 砚满尘埃点
'yan'mo'zhong'jian'tou'jian'xin 研磨终见透坚心
'yan'mu'yi'ti'you 巘暮疑啼狖
'yan'qian'kan'di'da'jiang'liu 檐前槛底大江流
'yan'qing'du'de'jian'qiu'hao 眼青独得见秋毫
'yan'qu'na'zhi'you'di'xiong 雁去那知有弟兄
'yan'que'yu'xiang'he 燕雀语相和
'yan'ru'kong'meng'li 焰入空濛里
'yan'seng'ying'xiao'wo 岩僧应笑我
'yan'sheng'wei'duan'qian'xun'yu 檐声未断前旬雨
'yan'shu'qiu'bin'bai 晏梳秋鬓白
'yan'shuang'bai'cao'bai 严霜百草白
'yan'sui'yi'jing'de 言虽依景得
'yan'ta'ying'fen'shu'gui'yue 雁塔影分疏桧月
'yan'tian'du'yuan'shen 炎天独院深
'yan'tong'tian'zhu'xiang 研通天柱响
'yan'wang'zhi'gong'zhi 言望至公知
'yan'xia'jing'bei'gu 烟霞经北固
'yan'xia'ming'mei'qi'xin'di 烟霞明媚栖心地
'yan'xiao'xin'yi'cun 烟霄心一寸
'yan'xiao'yi'sui'ming'jing'di 烟霄已遂明经第
'yan'xiao'you'xiong'di 烟霄有兄弟
'yan'xu'fen'fei'li'han'kou 雁序分飞离汉口
'yan'yan'zhi'he'shi 燕燕知何事
'yan'ye'cong'fan'die 艳冶丛翻蝶
'yan'yu'fen'gao'ren 滟滪分高仞
'yan'yuan'ying'ren'de 岩猿应认得
'yan'yue'ji'ban'wei'ke'lu 烟月几般为客路
'yan'zhong'shui'hai'duo 雁众水还多
'yan'zhu'xi'feng'ri'ye'lai 雁逐西风日夜来
'yan'zhuo'xin'hun'xin'sheng'si 眼浊心昏信生死
'yan'zi'sheng'ya'zhu'wu'di 颜子生涯竹屋低
'yang'chun'kan'yong'hen 阳春堪永恨
'yang'he'si'wen'gui'lang'jian 仰贺斯文归朗鉴
'yang'kuang'wei'bi'qing'ru'ye 佯狂未必轻儒业
'yang'lei'dian'guang'kong'shan'shan 飏雷电光空闪闪
'yang'liu'jiang'hu'wan 杨柳江湖晚
'yang'liu'man'chun'feng 杨柳谩春风
'yang'qun'qi'cao'shan 羊群碛草膻
'yao'ding'jin'wen'chuan'mi'jue 药鼎近闻传秘诀
'yao'er'luan'shen 繇尔乱神
'yao'jian'xuan'zhu'wen 姚监选诸文
'yao'kong'gong'bai'bo 遥空共白波
'yao'ling'ceng'shuo'huan'shuang'zi 药灵曾说换霜髭
'yao'luo'chu'jiang'tou 摇落楚江头
'yao'que'cen'ci'a'mu'jia 瑶阙参差阿母家
'yao'que'he'pei'long'xiang'wei 瑶阙合陪龙象位
'yao'sha'jiu'yuan'hu'tu'yi 妖杀九原狐兔意
'yao'shang'zhu'feng'qu 要上诸峰去
'yao'tai'ban'lv'dai'gui'tian 瑶台伴侣待归天
'yao'xu'xian'zi'jia'fang'xing 要须仙子驾方行
'yao'yao'yu'ming'ming 杳杳与冥冥
'yao'zhong'mi'jiu'zhuan 药中迷九转
'ye'bo'zhu'cun'yu 夜泊诸村雨
'ye'ci'fei'guang'yin 也此废光阴
'ye'ci'xiang'yin 夜次湘阴
'ye'dao'song'yun'luo'jian'duo 叶到嵩云落渐多
'ye'dian'cong'hao'duan 野店丛蒿短
'ye'diao'dong'ting'yue 夜钓洞庭月
'ye'die'liang'yun'duo 野叠凉云朵
'ye'guo'qiu'zhu'si 夜过秋竹寺
'ye'hei'shao'chu'jing 野黑烧初经
'ye'jiu'shui'tong'zuo 夜久谁同坐
'ye'ke'yi'wen'jiang'he'zeng 野客已闻将鹤赠
'ye'kuo'bai'yan'ping 野阔白烟平
'ye'kuo'jiu'jiang'liu 野阔九江流
'ye'kuo'jue'chun'geng 野阔绝春耕
'ye'lai'he'chu'huo 夜来何处火
'ye'lai'yue'ku'huai'gao'lun 夜来月苦怀高论
'ye'liang'liu'ke'hua'shi'nan 夜凉留客话时难
'ye'liang'nan'jiu'zhen 夜凉难就枕
'ye'niao'ti'you'shu 野鸟啼幽树
'ye'pi'sui'xiang'si 野癖虽相似
'ye'pu'xian'cha'bai'yu'chen 叶扑仙槎摆欲沉
'ye'qiao'xian'bei'can'yang'li 野桥闲背残阳立
'ye'qing'dao'yu'jia 夜磬到渔家
'ye'qing'he'xian'shui'yun'bian 野情何限水云边
'ye'qu'jin'he'si 野趣今何似
'ye'se'gong'ming'ming 夜色共冥冥
'ye'seng'jiao'zhong'fa 野僧教种法
'ye'shao'ji'wei'hui 野烧几为灰
'ye'shen'fei'guo'du'shu'wei 夜深飞过读书帷
'ye'shen'shan'yue'zhao'gao'zhi 夜深山月照高枝
'ye'shen'tian'bi'song'feng'duo 夜深天碧松风多
'ye'shi'luan'xi'niu 野石乱犀牛
'ye'shi'pan'kong'ze 野势盘空泽
'ye'shui'fan'hong'ou 野水翻红藕
'ye'si'kan'chun'geng 野寺看春耕
'ye'tao'shan'xing'zhai'xiang'hong 野桃山杏摘香红
'ye'wei'fu'he'lei 曳尾复何累
'ye'wu'zheng'zhan'shi'kan'wang 野无征战时堪望
'ye'xing'you'lai'bu'lian'ren 野性由来不恋人
'ye'xu'cheng'xiu'gu 也须成朽骨
'ye'ya'shu'jia'ya 野鸭殊家鸭
'ye'ye'fu'jiu'jiu 咽咽复啾啾
'ye'ye'lou'sheng'lian 叶叶漏声连
'ye'yin'wu'zhu'ruo'zong'heng 野吟无主若纵横
'ye'yin'yun'qi'shi'zi'xu 夜吟云气湿髭须
'ye'ying'chang'ri'yue 也应长日月
'ye'ying'xian'de'chu'shen'gong 野莺衔得出深宫
'ye'ying'you'zuo'huai'qing'ku 也应有作怀清苦
'ye'ying'zhi'shi'yong'xian'qing 也应知是咏闲情
'ye'yu'xi'he'han 夜雨洗河汉
'ye'yun'xin'di'geng'he'fang 野云心地更何妨
'ye'zhu'chao'xiang'bai'shi'kan 夜烛朝香白石龛
'ye'zui'jin'gang'bu'na'hong 夜醉金缸不那红
'ye'zui'ti'zhao'yin 野醉题招隐
'ye'zuo'wen'xue'ji'suo'zhi 夜坐闻雪寄所知
'yi'bai'er'shi'ri 一百二十日
'yi'ban'tai'xian'shi'lin'lin 一般苔藓石磷磷
'yi'ban'wu'ran'yu'zhen'kong 一般无染喻真空
'yi'bang'lv'cong'xing 忆傍绿丛行
'yi'bie'bai'lian'chi 一别白莲池
'yi'bie'kuang'shan'ji'peng'ze'qian'zhou'shang'ren 忆别匡山寄彭泽乾昼上人
'yi'bie'kuang'shan'ri 忆别匡山日
'yi'bo'xian'xun'bian'jiu'zhou 一钵闲寻遍九州
'yi'bo'zu'ci'mei'ling'wai 衣钵祖辞梅岭外
'yi'ce'liao'chou'chu 倚策聊踌躇
'yi'chan'ming'ge'qiang 一蝉鸣隔墙
'yi'chi'jin'liu'wu 一尺锦榴无
'yi'chuang'pu'leng'luo 一床铺冷落
'yi'chun'jiang'shang'ji'yang'shan'zhang'lao'er'shou 宜春江上寄仰山长老二首
'yi'cong'chan'zu'can'zhen'xing 已从禅祖参真性
'yi'cui'luo'shan'feng 衣毳落杉风
'yi'de'fu'sheng'dao'lao'xian 已得浮生到老闲
'yi'de'shen'ming'le 已得身名了
'yi'de'sheng'ming'xian'zhen'su 已得声名先振俗
'yi'deng'wang'qin'you'chong'kai 一灯忘寝又重开
'yi'deng'xuan'ying'guo'zhong'xiao 一灯悬影过中宵
'yi'dian'nong'lan'zai'shen'jing 一点浓岚在深井
'yi'dian'shi'kan'deng 一点石龛灯
'yi'dian'ye'shen'deng 一点夜深灯
'yi'dong'lin'yin'song'er'sheng'gui 忆东林因送二生归
'yi'duan'ge'chou'zhi 以短歌酬之
'yi'duo'zuo'wo'leng 衣多坐卧棱
'yi'fa'chuan'wen'ji'lao'neng 一法传闻继老能
'yi'feng'er'fu 以丰尔腹
'yi'feng'ning'li'du'pai'huai 倚风凝立独徘徊
'yi'fu'geng'he'yi 倚伏更何疑
'yi'fu'yi'tong'shen 一服已通神
'yi'gan'chang'shi'po 已甘长逝魄
'yi'gong'diao'yi'chen 一共吊遗尘
'yi'guan'jin'han'ting 衣冠尽汉庭
'yi'gui'cang'hai'si 忆归沧海寺
'yi'gui'ying'ji'meng 忆归应寄梦
'yi'guo'ba'ling'sui 忆过巴陵岁
'yi'guo'guang'zhong'shao 蚁过光中少
'yi'guo'ji'wu'xin 已过即无心
'yi'guo'wu'xia'shen'qing'ai 已过巫峡沈青霭
'yi'guo'yang'shuo'jian 忆过阳朔见
'yi'guo'zhi'ming'sui 已过知命岁
'yi'he'bi'yong'xu'wei'zhi'wen'zhang 亦何必用虚伪之文章
'yi'he'nao'fei'chang 伊何挠肺肠
'yi'hen'fu'xian'xin 衣痕拂藓新
'yi'hui'xian'shang'ren 贻惠暹上人
'yi'hui'yi'hua'jie'jin'gu 一挥一画皆筋骨
