'ai'shang'ceng'lou 爱上层楼
'xi'ni'run'yan'gui'nan'pu 喜泥润燕归南浦
'xi'nian'duo'bing'yan'fang'zun 昔年多病厌芳尊
'xi'qiao'du'xiao'shuang 溪桥度晓霜
'xi'qiao'liu'xi 溪桥柳细
'xi'qu'tian'jiao'zhong 系取天骄种
'xi'sai'shan'qian'bai'lu'fei 西塞山前白鹭飞
'xi'shan'wai 西山外
'xi'shang'qing'qing'cao 溪上青青草
'xi'shang'tao'hua'wu'shu 溪上桃花无数
'xi'shang'zun'qian 席上尊前
'xi'tou'wo'bo'lian'peng 溪头卧剥莲蓬
'xi'xi'diao'sou'lian'wa 嬉嬉钓叟莲娃
'xi'xiao'you'ye 嬉笑游冶
'xi'xie'yang'lan 系斜阳缆
'xi'xing'zhou 系行舟
'xi'yang'lou'wai'wan'yan'long 夕阳楼外晚烟笼
'xi'yang'wu'yu 夕阳无语
'xi'yang'wu'yu'yan'gui'chou 夕阳无语燕归愁
'xi'yang'xi'xia'ji'shi'hui 夕阳西下几时回
'xi'yi'wang'cang'hai 徙倚望沧海
'xi'you'zui'mian 喜游醉眠
'xi'yu'meng'hui'ji'sai'yuan 细雨梦回鸡塞远
'xi'yu'shi'liu'guang 细雨湿流光
'xi'yuan'ri'ri'sao'lin'ting 西园日日扫林亭
'xi'yuan'ye'yin'ming'jia 西园夜饮鸣笳
'xi'zhen'bei'dou 细斟北斗
'xi'zhuang'zhen'tai 洗妆真态
'xia'ma'hai'xun 下马还寻
'xia'shu'cang'jiang'dui'qi 峡束苍江对起
'xia'zhong'jian 匣中剑
'xian'an'dian'zhen 先安簟枕
'xian'chi'ge 闲池阁
'xian'chou'gong'hen 献愁供恨
'xian'chou'ji'xu 闲愁几许
'xian'chou'zui'ku 闲愁最苦
'xian'chu'guang'yin 闲处光阴
'xian'dao'wan'hua'chuan'gu 先到万花川谷
'xian'de'jin'biao'di'yi'gui 衔得锦标第一归
'xian'deng'xiao'ge'kan'xin'qing 闲登小阁看新晴
'xian'duan'you'shui'ting 弦断有谁听
'xian'ge'di 弦歌地
'xian'guan 弦管
'xian'meng'jiang'nan'mei'shu'ri 闲梦江南梅熟日
'xian'meng'yuan 闲梦远
'xian'ni'yan 衔泥燕
'xian'que'chuan'bei'shou 闲却传杯手
'xian'shan'yao'yao'kong'yun'hai 仙山杳杳空云海
'xian'shang'huang'ying'yu 弦上黄莺语
'xian'xian'chi'tang'fei'yu 纤纤池塘飞雨
'xian'xu'ge'wu'sai'can'shen 先须歌舞赛蚕神
'xian'xun'jiu'zong'ji 闲寻旧踪迹
'xian'yang'gu'dao'yin'chen'jue 咸阳古道音尘绝
'xian'yang'song'ke'lv'hui'gu 咸阳送客屡回顾
'xian'yin'yuan'yang'xiang'jing'li 闲引鸳鸯香径里
'xian'yun'nong'qiao 纤云弄巧
'xian'yun'san 纤云散
'xiang'bie 相别
'xiang'che'bao'ma 香车宝马
'xiang'che'xi'zai'shui'jia'shu 香车系在谁家树
'xiang'che'zhong'bi'zhi'ru'xin'fu 向车中闭置如新妇
'xiang'chen'an'mo 香尘暗陌
'xiang'dang'nian 想当年
'xiang'deng'ban'juan'liu'su'zhang 香灯半卷流苏帐
'xiang'dui'ru'shuo'xing'wang'xie'yang'li 相对如说兴亡斜阳里
'xiang'dui'zuo'tiao'sheng 相对坐调笙
'xiang'fei'zai'e 香非在萼
'xiang'fei'zai'rui 香非在蕊
'xiang'feng'chu 相逢处
'xiang'feng'qian'ao'nao 向风前懊恼
'xiang'feng'shui'zai'xiang'jing 相逢谁在香径
'xiang'feng'zhi'you'meng'hun'jian 相逢只有梦魂间
'xiang'ge'yan 香阁掩
'xiang'gu'guo'gao'tai'yue'ming 想故国高台月明
'xiang'gu'wu'yan 相顾无言
'xiang'guan'he 想关河
'xiang'he'chu 向何处
'xiang'he'liang'hui'tou'wan'li 向河梁回头万里
'xiang'he'zhen'chu 相和砧杵
'xiang'hen'bu'ru'chao'you'xin 相恨不如潮有信
'xiang'ji'chuang 向鸡窗
'xiang'jia'ren'tian'han'ri'mu 想佳人天寒日暮
'xiang'jia'ren'zhuang'lou'yong'wang 想佳人妆楼颙望
'xiang'jian'chang'an'dao 相见长安道
'xiang'jian'geng'wu'yin 相见更无因
'xiang'jian'gong'jin'zi 香笺共锦字
'xiang'jian'hua'ping'zhong 相见画屏中
'xiang'jian'zheng'ru'bu'jian 相见争如不见
'xiang'jiao'yuan'ta'qing 向郊原踏青
'xiang'jing'luo'hong'chui'yi'duan 香径落红吹已断
'xiang'lei'hen'chen'ying 想泪痕尘影
'xiang'leng'jin'ni 香冷金猊
'xiang'leng'ru'yao'xi 香冷入瑶席
'xiang'nan'lou'yi'sheng'gui'yan 向南楼一声归雁
'xiang'nang'an'jie 香囊暗解
'xiang'nang'wei'jie 香囊未解
'xiang'nian'nian'fang'yi'chang'xin 向年年芳意长新
'xiang'pei'huan'yue'ye'gui'lai 想佩环月夜归来
'xiang'ran'ran 香苒苒
'xiang'shui'xing'su 向谁行宿
'xiang'si'ben'shi'wu'ping'yu 相思本是无凭语
'xiang'si'chu'shi 相思除是
'xiang'si'feng'ye'dan 相思枫叶丹
'xiang'si'liang'bin'ru'shuang 相思两鬓如霜
'xiang'si'shi'jue'hai'fei'shen 相思始觉海非深
'xiang'si'xiang'jian'zhi'he'ri 相思相见知何日
'xiang'si'xiu'wen'ding'he'ru 相思休问定何如
'xiang'si'yi'ye'chuang'qian'meng 相思一夜窗前梦
'xiang'si'yi'ye'mei'hua'fa 相思一夜梅花发
'xiang'si'zhi'zai 相思只在
'xiang'tou'ge'xia'bai'zhen'wu'fu 想投戈下拜真吾父
'xiang'wan'li'yu'feng 向晚鲤鱼风
'xiang'wan'zhou'bao'ma'diao'an 向晚骤宝马雕鞍
'xiang'wu'bo 香雾薄
'xiang'wu'yi'nian'shao 想乌衣年少
'xiang'xiang'guan'he'chu 想乡关何处
'xiang'xiu'ge'shen'chen 想绣阁深沉
'xiang'xun'chang'xiang'mo'ren'jia 向寻常巷陌人家
'xiang'xun'chang'ye'qiao'liu'shui 向寻常野桥流水
'xiang'yan'bo'lu 向烟波路
'xiang'yi'xi'wang'xie'lin'li 想依稀王谢邻里
'xiang'ying'yuan 相映远
'xiang'yu'shu'diao'tu 想玉树凋土
'xiang'yuan'ming'ting'yun'shi'jiu 想渊明停云诗就
'xiang'zheng'an'qiao'yue 向征鞍敲月
'xiang'zhi'liu'li 湘帙流离
'xiang'zhu'xiao'cheng'lei 香烛销成泪
'xiang'zi'yan'yi'qin'e'fang'fei'xie 向子湮忆秦娥芳菲歇
'xiang'zui'li 向醉里
'xiao'chuang'di'hu'shen'ying 小窗低户深映
'xiao'cong'shuang'lian'sheng 笑从双脸生
'xiao'feng'can'yue 晓风残月
'xiao'feng'gan 晓风干
'xiao'ge'hua'lian'gao'juan 小阁画帘高卷
'xiao'ge'you'chuang 小阁幽窗
'xiao'gu'tan'xi'cai'lian'chi 小姑贪戏采莲迟
'xiao'gu'xuan 箫鼓喧
'xiao'han'qing 晓寒轻
'xiao'hun 销魂
'xiao'hun'dang'ci'ji 销魂当此际
'xiao'hun'du'wo'qing'he'xian 销魂独我情何限
'xiao'ji'qing'zhou 小楫轻舟
'xiao'ji'ye'bo 小楫夜泊
'xiao'jian'bu'wen'sheng'jian'qiao 笑渐不闻声渐悄
'xiao'jie'wu'san'jian 小结屋三间
'xiao'jing'hong'xi 小径红稀
'xiao'lai'si'rao'tian'ya 晓来思绕天涯
'xiao'lai'yu'guo 晓来雨过
'xiao'li'luo'hu'deng 笑篱落呼灯
'xiao'li'qing'qing'yu 笑里轻轻语
'xiao'lian'chu'shang'pi'pa 小怜初上琵琶
'xiao'ling'zun'qian'jian'yu'xiao 小令尊前见玉箫
'xiao'lou'chui'che'yu'sheng'han 小楼吹彻玉笙寒
'xiao'lou'xi'jiao'duan'hong'ming 小楼西角断虹明
'xiao'lou'zuo'ye'you'dong'feng 小楼昨夜又东风
'xiao'pan'xuan 小盘旋
'xiao'ping'feng'pan'leng'xiang'ning 小屏风畔冷香凝
'xiao'ping'feng'shang'xi'jiang'lu 小屏风上西江路
'xiao'qiao'chu'jia 小乔初嫁
'xiao'qiao'chu'jia'le 小乔初嫁了
'xiao'qiao'wai'xin'lv'jian'jian 小桥外新绿溅溅
'xiao'ru'guan'zi'lai'duo'wu 笑儒冠自来多误
'xiao'ru'shu 消溽暑
'xiao'shan'chong'die'jin'ming'mie 小山重叠金明灭
'xiao'sheng'yan 箫声咽
'xiao'shi'you'dai'ling'mei'xiang 笑时犹带岭梅香
'xiao'shou'sun 消瘦损
'xiao'tan'ke'yin'xiong'nu'xue 笑谈渴饮匈奴血
'xiao'tie'jin'ni 小帖金泥
'xiao'ting'kong 小庭空
'xiao'wo'lai 笑我来
'xiao'xiang'shen'ye'yue'ming'shi 潇湘深夜月明时
'xiao'xiao'liang'bin'sheng'hua 萧萧两鬓生华
'xiao'xiao'mu'yu'zi'gui'ti 潇潇暮雨子规啼
'xiao'xiao'yu'xie 潇潇雨歇
'xiao'xuan'chuang 小轩窗
'xiao'xuan'nan'pu 小轩南浦
'xiao'yan'shu'xiang'zui'jiao'ruan 小艳疏香最娇软
'xiao'yin'wu'lai'si'qiong'qiu 晓阴无赖似穷秋
'xiao'yu'xian'xian'feng'xi'xi 小雨纤纤风细细
'xiao'yu'ying'ying'an'xiang'qu 笑语盈盈暗香去
'xiao'yuan'ji'xu 小园几许
'xiao'yuan'xi'die'fei'cheng'dui 小园戏蝶飞成对
'xiao'yuan'xian'zhou 小院闲昼
'xiao'yuan'xiang'jing'du'pai'huai 小园香径独徘徊
'xiao'zhi'ba'jiao'lin'li'zhu 笑指芭蕉林里住
'xiao'zhou'cong'ci'shi 小舟从此逝
'xie'feng'xi'yu'bu'xu'gui 斜风细雨不须归
'xie'guang'dao'xiao'chuan'zhu'hu 斜光到晓穿朱户
'xie'hui'mo'mo'shui'you'you 斜晖脉脉水悠悠
'xie'ri'huang'cheng'gu 斜日荒城鼓
'xie'ri'wei'neng'du 斜日未能度
'xie'ru'qin'si 写入琴丝
'xie'ru'xin'shi 写入新诗
'xie'shi'si'xue 谢时似雪
'xie'shou'an'xiang'qi 携手暗相期
'xie'shou'chu 携手处
'xie'ta'shi'peng'jiu'lv 谢他诗朋酒侣
'xie'wo'di'zhi 斜卧低枝
'xie'yang 斜阳
'xie'yang'cao'shu 斜阳草树
'xie'yang'du'yi'xi'lou 斜阳独倚西楼
'xie'yang'gua'shen'shu 斜阳挂深树
'xie'yang'mu'cao 斜阳暮草
'xie'yang'que'zhao'shen'shen'yuan 斜阳却照深深院
'xie'yang'ran'ran'chun'wu'ji 斜阳冉冉春无极
'xie'yang'wai 斜阳外
'xie'yang'zheng'zai 斜阳正在
'xie'yi'jiang'cheng'zi'xing'hua'cun'guan'jiu'qi'feng 谢逸江城子杏花村馆酒旗风
'xie'yue'ban'chuang'hai'shao'shui 斜月半窗还少睡
'xie'yue'xiao'lan'gan 斜月小栏杆
'xie'zhao'nong'qing 斜照弄晴
'xin'bu'dong 心不动
'xin'fan'hu'bu'qu 新翻胡部曲
'xin'he'zai 心何在
'xin'lai'shou 新来瘦
'xin'lai'yan'kuo'yun'yin 新来雁阔云音
'xin'lao'sheng'kong'cheng'jin'gu 信劳生空成今古
'xin'lv'sheng'shi 新绿生时
'xin'qi'ji'chou'nu'er'shao'nian'bu'shi'chou'zi'wei 辛弃疾丑奴儿少年不识愁滋味
'xin'qi'ji'he'xin'lang'lv'shu'ting'ti'jue 辛弃疾贺新郎绿树听鹈鴂
'xin'qi'ji'he'xin'lang'shen'yi'wu'shuai'yi 辛弃疾贺新郎甚矣吾衰矣
'xin'qi'ji'mo'yu'er'geng'neng'xiao'ji'fan'feng'yu 辛弃疾摸鱼儿更能消几番风雨
'xin'qi'ji'nan'xiang'zi'deng'jing'kou'bei'gu'ting'you'huai 辛弃疾南乡子登京口北固亭有怀
'xin'qi'ji'po'zhen'zi'zui'li'tiao'deng'kan'jian 辛弃疾破阵子醉里挑灯看剑
'xin'qi'ji'pu'sa'man'yu'gu'tai'xia'qing'jiang'shui 辛弃疾菩萨蛮郁孤台下清江水
'xin'qi'ji'qing'ping'le'mao'yan'di'xiao 辛弃疾清平乐茅檐低小
'xin'qi'ji'qing'ping'le'rao'chuang'ji'shu 辛弃疾清平乐绕床饥鼠
'xin'qi'ji'qing'yu'wan'dong'feng'ye'fang'hua'qian'shu 辛弃疾青玉案东风夜放花千树
'xin'qi'ji'shui'long'yin'chu'tian'qian'li'qing'qiu 辛弃疾水龙吟楚天千里清秋
'xin'qi'ji'shui'long'yin'ju'tou'xi'bei'fu'yun 辛弃疾水龙吟举头西北浮云
'xin'qi'ji'tai'chang'yin'yi'lun'qiu'ying'zhuan'jin'bo 辛弃疾太常引一轮秋影转金波
'xin'qi'ji'xi'jiang'yue'ming'yue'bie'zhi'jing'que 辛弃疾西江月明月别枝惊鹊
'xin'qi'ji'xi'jiang'yue'zui'li'qie'tan'huan'xiao 辛弃疾西江月醉里且贪欢笑
'xin'qi'ji'yong'yu'le'jing'kou'bei'gu'ting'huai'gu 辛弃疾永遇乐京口北固亭怀古
'xin'qi'ji'zhe'gu'tian'zhuang'sui'jing'qi'yong'wan'fu 辛弃疾鹧鸪天壮岁旌旗拥万夫
'xin'qi'ji'zhu'ying'tai'jin'bao'chai'fen 辛弃疾祝英台近宝钗分
'xin'qing'xi'lv'ping'sha 新晴细履平沙
'xin'ruo'liu'shi 心若留时
'xin'shui'qi 新睡起
'xin'si'shuang'si'wang 心似双丝网
'xin'tie'xiu'luo'ru 新帖绣罗襦
'xin'tu'zhuang 心徒壮
'xin'wei'si 心未死
'xin'yang'jing'zhuang 新样靓妆
'xin'yue'juan'juan 新月娟娟
'xin'yue'qu'ru'mei 新月曲如眉
'xin'zai'tian'shan 心在天山
'xin'zhe 心折
'xin'zhu'quan'wu'shi'chu 信著全无是处
'xin'zi'xiang'shao 心字香烧
'xing'dou'heng'you'guan 星斗横幽馆
'xing'gong'zhen'bi'liu 行宫枕碧流
'xing'he'lu'qi 星河鹭起
'xing'he'yu'zhuan'qian'fan'wu 星河欲转千帆舞
'xing'hua'chui'man'tou 杏花吹满头
'xing'hua'cun'guan'jiu'qi'feng 杏花村馆酒旗风
'xing'hua'ru'xue 杏花如雪
'xing'hua'shen'chu 杏花深处
'xing'hua'shu'ying'li 杏花疏影里
'xing'jin'mu'sha'shuai'cao 行尽暮沙衰草
'xing'jin'wan'hui'zhou 兴尽晚回舟
'xing'ke'zi'duo'chou 行客自多愁
'xing'qing'mei'xiao 杏青梅小
'xing'ren'geng'zai'chun'shan'wai 行人更在春山外
'xing'ren'jian'lao 行人渐老
'xing'ru'yu 星如雨
'xing'shi'wei'xi'zhou 形势魏西州
'xing'wang'zhi'zai'tan'xiao'zhong 兴亡只在谈笑中
'xing'xing'bin'ying'jin'ru'xu 星星鬓影今如许
'xing'you'yi'zhong'ren 幸有意中人
'xing'yun'dai'yu 行云带雨
'xing'yun'you'ying'yue'han'xiu 行云有影月含羞
'xing'zui'geng'wu'shi'jie 醒醉更无时节
'xiong'zi'ying'fa 雄姿英发
'xiu'chang'yang'guan 休唱阳关
'xiu'ge'jin'lv'quan'jin'zhi 休歌金缕劝金卮
'xiu'ge'qing'pao 绣阁轻抛
'xiu'gong'ruan'hong'shuo 休共软红说
'xiu'ji'wei'neng'xiu 休即未能休
'xiu'jian'fei'yin 袖剑飞吟
'xiu'jiang'bai'fa'chang'huang'ji 休将白发唱黄鸡
'xiu'lian'chui 绣帘垂
'xiu'lian'kai 绣帘开
'xiu'mai'lian'gang'sang'ye'jian 秀麦连冈桑叶贱
'xiu'qu'yi'wei'lan 休去倚危栏
'xiu'sha'rui'zhu'gong'nv 羞杀蕊珠宫女
'xiu'shi'yuan'chan'zhao'ke'mian 休使圆蟾照客眠
'xiu'shuo'lu'yu'kan'kuai 休说鲈鱼堪脍
'xiu'wei'ren'nian'yuan 绣帏人念远
'xiu'xiu 休休
'xiu'xiu'ye 休休也
'xiu'zhu'zai'jiao'man 修竹栽教满
'xu'chang'tu'lin'jiang'xian'yin'san'li'ting'xi'qu 徐昌图临江仙饮散离亭西去
'xu'chou'chun'lou'duan 须愁春漏短
'xu'duo'chou 许多愁
'xuan'he'jiu'ri 宣和旧日
'xue'chui'chui 雪垂垂
'xue'fei'yan'hai'bian'qing'liang 雪飞炎海变清凉
'xue'hua'fei'xia 雪花飞下
'xue'man'chang'an'dao 雪满长安道
'xue'man'jiao'he'dao 雪满交河道
'xue'shi'man'you'jing'ren'ju 学诗谩有惊人句
'xue'xi'lu'chen'jing 雪洗虏尘静
'xue'xiao'qing'jia'luan'qi 雪晓清笳乱起
'xue'yun'san'jin 雪云散尽
'xue'zhao'yun'huan'xi'sha'hong'liao'du'tou'qiu'zheng'yu 薛昭蕴浣溪沙红蓼渡头秋正雨
'xun'chang'xiang'jian'le 寻常相见了
'xun'chang'xiang'mo 寻常巷陌
'xun'lang'qu'chu 寻郎去处
'xun'lu'qin'huan'sheng'xiang 熏炉衾换生香
'xun'si'jiu'jing'luo 寻思旧京洛
'xun'xun'mi'mi 寻寻觅觅
'xun'ye'gu'you'you 勋业故优游
'yan'bei'xi'yang'hong'yu'mu 雁背夕阳红欲暮
'yan'bing'ye'cu'yin'hu'jue 燕兵夜娖银胡觮
'yan'bo'wu'ji 烟波无际
'yan'bu'dao'shu'cheng'shei'yu 雁不到书成谁与
'yan'chen'xiang'xiu'hu 掩沉香绣户
'yan'ci'gui'ke'shang'yan'liu 燕辞归客尚淹留
'yan'er'wu 燕儿舞
'yan'fei'can'yue'tian 雁飞残月天
'yan'guang'yao'piao'wa 烟光摇缥瓦
'yan'gui'fan'jin'shui'mang'mang 燕归帆尽水茫茫
'yan'guo'ye 雁过也
'yan'heng'nan'pu 雁横南浦
'yan'heng'shui'ji 烟横水际
'yan'heng'yan'zhu 雁横烟渚
'yan'hua'chun'fu'qiu 烟花春复秋
'yan'hua'xiang'mo 烟花巷陌
'yan'ji'dao'die'lian'hua'zui'bie'xi'lou'xing'bu'ji 晏几道蝶恋花醉别西楼醒不记
'yan'ji'dao'lin'jiang'xian'meng'hou'lou'tai'gao'suo 晏几道临江仙梦后楼台高锁
'yan'ji'dao'qing'ping'le'liu'ren'bu'zhu 晏几道清平乐留人不住
'yan'ji'dao'ruan'lang'gui'jiu'xiang'can'fen'si'dang'chu 晏几道阮郎归旧香残粉似当初
'yan'ji'dao'zhe'gu'tian'cai'xiu'yin'qin'peng'yu'zhong 晏几道鹧鸪天彩袖殷勤捧玉钟
'yan'ji'dao'zhe'gu'tian'xiao'ling'zun'qian'jian'yu'xiao 晏几道鹧鸪天小令尊前见玉箫
'yan'ji'dao'zhe'gu'tian'zui'pai'chun'shan'xi'jiu'xiang 晏几道鹧鸪天醉拍春衫惜旧香
'yan'ke'fa'yu'yue'ke 燕可伐欤曰可
'yan'lai'wan'fei'ru'xi'cheng 燕来晚飞入西城
'yan'lai'yin'xin'wu'ping 雁来音信无凭
'yan'lei'zhuang'huan 咽泪装欢
'yan'li'si'si'nong'bi 烟里丝丝弄碧
'yan'liu'an'nan'pu 烟柳暗南浦
'yan'liu'duan'chang'chu 烟柳断肠处
'yan'liu'hua'qiao 烟柳画桥
'yan'long'xiu'zhu 烟笼修竹
'yan'luo'cang'zhou'he'chu'suo 雁落沧洲何处所
'yan'lv'zhi'cheng'chou 烟缕织成愁
'yan'men'xi 雁门西
'yan'miao'shu'li'zhi'di 烟渺黍离之地
'yan'ming'jiu'qi'xie 烟暝酒旗斜
'yan'nuan'po'qing'qiu 妍暖破轻裘
'yan'qian'wan'li'jiang'shan 眼前万里江山
'yan'ran'wei'le'gui'wu'ji 燕然未勒归无计
'yan'ran'yao'dong 嫣然摇动
'yan'ren'yu'lou'chun'chun'feng'zhi'zai'yuan'xi'pan 严仁玉楼春春风只在园西畔
'yan'rui'bu'suan'zi'bu'shi'ai'feng'chen 严蕊卜算子不是爱风尘
'yan'shu'die'lian'hua'kan'ju'chou'yan'lan'qi'lu 晏殊蝶恋花槛菊愁烟兰泣露
'yan'shu'huan'xi'sha'yi'qu'xin'ci'jiu'yi'bei 晏殊浣溪沙一曲新词酒一杯
'yan'shu'huan'xi'sha'yi'xiang'nian'guang'you'xian'shen 晏殊浣溪沙一向年光有限身
'yan'shu'po'zhen'zi'yan'zi'lai'shi'xin'she 晏殊破阵子燕子来时新社
'yan'shu'qing'ping'le'hong'jian'xiao'zi 晏殊清平乐红笺小字
'yan'shu'shan'ting'liu'jia'zhu'xi'qin 晏殊山亭柳家住西秦
'yan'shu'ta'sha'xing'xiao'jing'hong'xi 晏殊踏莎行小径红稀
'yan'shu'yao 烟墅杳
'yan'shu'yu'lou'chun'lv'yang'fang'cao'chang'ting'lu 晏殊玉楼春绿杨芳草长亭路
'yan'shui'mang'mang 烟水茫茫
'yan'suo'feng'lou'wu'xian'shi 烟锁凤楼无限事
'yan'suo'qin'lou 烟锁秦楼
'yan'wai'jiu'qi'di'ya 烟外酒旗低亚
'yan'ya'fei'cui 檐牙飞翠
'yan'yan'ji'xu'chun'qing 厌厌几许春情
'yan'yan'qing'ying 燕燕轻盈
'yan'yan'wu'xin 燕雁无心
'yan'yi'xiang'rong 艳溢香融
'yan'yin'ming'se'gui'yun'qiao 岩阴暝色归云悄
'yan'yin'ping 掩银屏
'yan'ying'zhu'li'mao'she 掩映竹篱茅舍
'yan'yu'ge'gao'tang 烟雨隔高唐
'yan'yue'bu'zhi'ren'shi'gai 烟月不知人事改
'yan'zhi'lei 胭脂泪
'yan'zhong'lei'jin'kong'ti'xue 眼中泪尽空啼血
'yan'zhong'lie'xiu'qing'wu'shu 烟中列岫青无数
'yan'zhong'yi'xian'lai'shi'lu 烟中一线来时路
'yan'zi'bu'zhi'he'shi 燕子不知何世
'yan'zi'bu'zhi'ren'qu'ye 燕子不知人去也
'yan'zi'fei'lai'fei'qu 燕子飞来飞去
'yan'zi'fei'lai'kui'hua'dong 燕子飞来窥画栋
'yan'zi'fei'shi 燕子飞时
'yan'zi'gui'lai'chou'bu'yu 燕子归来愁不语
'yan'zi'hui'shi 雁字回时
'yan'zi'lai'shi'xin'she 燕子来时新社
'yan'zi'lou'kong 燕子楼空
'yan'zi'ni'nan 燕子呢喃
'yan'zi'shuang'fei'qu 燕子双飞去
'yang'can'hong 飏残红
'yang'gu'peng 漾孤篷
'yang'liu'an'xiao'feng'can'yue 杨柳岸晓风残月
'yang'liu'dui'yan 杨柳堆烟
'yang'liu'duo'qing 杨柳多情
'yang'liu'hui'tang 杨柳回塘
'yang'liu'lv'yin'nong 杨柳绿阴浓
'yang'liu'si'si'fu'mian 杨柳丝丝拂面
'yang'liu'si'si'nong'qing'rou 杨柳丝丝弄轻柔
'yang'liu'yu'ren'bian'qing'yan 杨柳于人便青眼
'yang'qing'qi'liu'shui'qiao'pang 飏青旗流水桥旁
'yang'tian'chang'xiao 仰天长啸
'yang'wan'li'hao'shi'jin'yue'wei'dao'cheng'zhai 杨万里好事近月未到诚斋
'yang'wan'li'zhao'jun'yuan'ou'ting'song'shao'pu'lu 杨万里昭君怨偶听松梢扑鹿
'yang'wu'jiu'liu'shao'qing'mao'she'shu'li 杨无咎柳梢青茅舍疏篱
'yao'bei'ren'zhi'ban'ri'xiu 遥被人知半日羞
'yao'cao'yi'he'bi 瑶草一何碧
'yao'cen'yuan'mu 遥岑远目
'yao'chou'na'dei'gong'fu 要愁那得工夫
'yao'dang'xiang'yun 摇荡湘云
'yao'de'yi'li'shui'zu 要得一犁水足
'yao'ren'xing'ru'zhui 遥认行如缀
'yao'shan'mei'wu 遥山媚妩
'yao'shan'qia'dui'lian'gou 遥山恰对帘钩
'yao'shan'xiu'dai 遥山羞黛
'yao'shou'chu'hong'chen 摇首出红尘
'yao'tai'leng 瑶台冷
'yao'wang'si'yi'tuan'yin 遥望似一团银
'yao'xiang'gong'jin'dang'nian 遥想公瑾当年
'yao'xiu'qie'dai'qing'shan'lan 要休且待青山烂
'yao'yao'shen'jing'lu 杳杳神京路
'yao'yao'yin'chen'duo'jue 杳杳音尘多绝
'yao'ye'bi'yun'xie 摇曳碧云斜
'yao'ye'ting'gao'xian'xin'bu 遥夜亭皋闲信步
'yao'yong'zheng'rong 遥拥峥嵘
'yao'zhan'lou'lan'san'chi'jian 要斩楼兰三尺剑
'yao'zhi'du 尧之都
'yao'zhi'gu'cun'dao 遥指孤村道
'yao'zhi'qian'cun'yan'shu 遥指前村烟树
'ye'an'ru'ya'ti 叶暗乳鸦啼
'ye'ban'lai 夜半来
'ye'chang'zheng'de'bo'qing'zhi 夜长争得薄情知
'ye'chuan'chui'di'yu'xiao'xiao 夜船吹笛雨潇潇
'ye'di'huang'li'yi'liang'sheng 叶底黄鹂一两声
'ye'du'zhou'heng 野渡舟横
'ye'fan'feng'shi 夜帆风驶
'ye'guo'ye 夜过也
'ye'han'bu'jin'liu'su 夜寒不近流苏
'ye'han'feng'xi 夜寒风细
'ye'han'jiang'jing'shan'xian'dou 夜寒江静山衔斗
'ye'han'kong'ti'ren'chui'lei 夜寒空替人垂泪
'ye'jiu'geng'lan'feng'jian'jin 夜久更阑风渐紧
'ye'lai'chu'chu'shi'xin'zhuang 夜来处处试新妆
'ye'lai'feng'ye'yi'ming'lang 夜来风叶已鸣廊
'ye'lai'feng'yu'cong'cong 夜来风雨匆匆
'ye'lai'xiao'yu'xin'ji 夜来小雨新霁
'ye'lai'you'meng'hu'huan'xiang 夜来幽梦忽还乡
'ye'lan'feng'jing'hu'wen'ping 夜阑风静縠纹平
'ye'lan'hai'zhao'shen'gong 夜阑还照深宫
'ye'lan'shan 夜阑珊
'ye'lan'you'jian'deng'hua'nong 夜阑犹剪灯花弄
'ye'liang'du'zi'shen'qing'xu 夜凉独自甚情绪
'ye'mang'mang 夜茫茫
'ye'meng'de'ba'sheng'gan'zhou'gu'du'mi'an'cao 叶梦得八声甘州故都迷岸草
'ye'meng'de'shui'diao'ge'tou'qiu'se'jian'jiang'wan 叶梦得水调歌头秋色渐将晚
'ye'ni'fan'qing'zhou 也拟泛轻舟
'ye'qing'chen'he'sheng'chao'man'zhen'lv'xu'liu'jun'zhu 叶清臣贺圣朝满斟绿醑留君住
'ye'shang'chu'yang'gan'su'yu 叶上初阳干宿雨
'ye'shen'chang'jian 夜深长见
'ye'shen'yue'guo'nv'qiang'lai 夜深月过女墙来
'ye'sheng'han'fei'tou'chuang'sha 叶声寒飞透窗纱
'ye'tiao'tiao 夜迢迢
'ye'wai'yi'sheng'zhong'qi'song'gu'peng 野外一声钟起送孤篷
'ye'wu'feng'yu'ye'wu'qing 也无风雨也无晴
'ye'wu'mian'deng'hua'kong'lao 夜无眠灯花空老
'ye'wu'ren'xi'cong'jiao'zhui 也无人惜从教坠
'ye'xia'xie'yang'zhao'shui 叶下斜阳照水
'ye'xu'pin'zui 也须拼醉
'ye'xue'chu'ji 夜雪初积
'ye'ye'chu'fei 夜夜除非
'ye'ye'sheng'sheng'shi'bie'li 叶叶声声是别离
'ye'yi'san'geng 夜已三更
'ye'yin'dong'po'xing'fu'zui 夜饮东坡醒复醉
'ye'ying'si'jiu 也应似旧
'ye'yue'yi'lian'you'meng 夜月一帘幽梦
'ye'ze'nan'liu 也则难留
'ye'zhang'wei'lou'qu 曳杖危楼去
'ye'zhi'ren'chun'chou'wu'li 也知人春愁无力
'ye'zhi'shi'mu'yun'ning'bi 也只是暮云凝碧
'yi'ban'chun'xiu 一半春休
'yi'bei'wei'jin 一杯未尽
'yi'bian'qing'xiao'xi'huan'jia 一鞭清晓喜还家
'yi'can'bie'xiu'yan'zhi'yu 裛残别袖燕支雨
