'a'mu'zai'pang'zuo 阿母在旁坐
'ting'qiao'gu 听谯鼓
'ting'ting'gu'yu'pei'dang'yao 亭亭古玉佩当腰
'ting'wo'ge'ci'sheng'si'tong 听我歌此胜丝桐
'tong'xin'bu'de'shuo 同心不得说
'tong'xin'lai'fu'meng'zhong'shen 童心来复梦中身
'tong'yan'yi'jin'gu 同艳异今古
'tong'yi'xie'yang 同倚斜阳
'tong'yin'yue'yi'xi 桐阴月已西
'tou'ci'xi'tu'wu 投刺喜突兀
'tu'gou'gong'ming 屠狗功名
'tu'long'wu'yi'yi 屠龙吾已矣
'tu'niu'na'bu'sheng'zai'he 屠牛那不胜栽禾
'tu'shi'han'hua'you'ci'fen 土蚀寒花又此坟
'tuan'shan'cai'ren'ju'shang'you 团扇才人踞上游
'tuan'tu'xi'wei'ren 抟土戏为人
'tui'bo'nan'wan'wan'tui'xin 颓波难挽挽颓心
'tui'chao'ou'cheng 退朝偶成
'tuo'shou'huang'jin'yi'xiao 脱手黄金一笑
'wa'ye'zhi'jian'xin 娲也知艰辛
'wai'shi'zhi'yi'qin 外氏之懿亲
'wan'chong'en'yuan'shu'ming'liu 万重恩怨属名流
'wan'fu'ceng'wu'fen 顽福曾无分
'wan'fu'nu'yong'er 万夫怒用耳
'wan'fu'shu'zhi'shi 万夫孰指使
'wan'gu'liang'miao'yi 万古两苗裔
'wan'gu'xun'yang'song'ju'gao 万古浔阳松菊高
'wan'lai'wu'yan'di'zuo'ling 万籁无言帝坐灵
'wan'lai'zhu'xiang'ling'fei 挽来注向灵扉
'wan'li'ta'xiang 万里他乡
'wan'li'xi'feng'han'hai'sha 万里西风瀚海沙
'wan'lv'wu'ren'hui'yi'chan 万绿无人嘒一蝉
'wan'lv'yi'fen'fen 万虑亦纷纷
'wan'ma'qi'yin'jiu'ke'ai 万马齐瘖究可哀
'wan'pai'yin'tao'chong'gu'an 万派银涛冲古岸
'wan'qian'ai'yue'ji'jin'zhao 万千哀乐集今朝
'wan'qian'zhong'hua'yi'deng'qing 万千种话一灯青
'wan'qiu'feng'jing'bei'qi'liang 晚秋风景倍凄凉
'wan'ren'ce'mu'qian'ren'nuo 万人侧目千人诺
'wan'ren'di 万人敌
'wan'xu'sao'pa'zhi 挽须搔爬之
'wan'yan'shu 万言书
'wan'yi'chan'guan'hua'ran'po 万一禅关砉然破
'wan'yi'piao'ling'wen'zi'hai 万一飘零文字海
'wan'yi'shi'sui'yan 万一诗祟焉
'wan'zhuang'yu'ba 晚妆欲罢
'wang'jiang'nan'su'shuang'lin'chan'yuan'you'gan 望江南宿双林禅院有感
'wang'lu'lu'qian'kun 枉碌碌乾坤
'wang'luo'wen'xian'wu'juan'yi 网罗文献吾倦矣
'wang'po'qi'men'ci'fei'dan 枉破期门佽飞胆
'wang'qi'shu'yun'jin 王气倏云尽
'wang'shuo'jian'er'shen'shou'zai 枉说健儿身手在
'wang'zhong'yi 望中疑
'wei'ben'chao'gui'wei 为本朝瑰玮
'wei'bi'wei'huo'wu'chai'lun 未必卫霍无侪伦
'wei'ci'jian'jian 慰此蹇蹇
'wei'jun'gou'cao'tang 为君构草堂
'wei'ken'fu'ru'shu 未肯附儒术
'wei'ken'tuo'rang'wu 未肯托禳巫
'wei'kong'liu'lang'ying'qi'jin 为恐刘郎英气尽
'wei'pa'duo'qing 为怕多情
'wei'shi'chun'miao'jiu'lin'yu 维时纯庙久临御
'wei'shi'sheng'ping'duo'xia'ri 为是升平多暇日
'wei'wo'jiu'bu'tong'jian'xin 谓我久不同艰辛
'wei'xu'duan'xiang 未许端详
'wei'yan'sheng'you'tun 未言声又吞
'wei'yi'mao'tuo'yang'yuan'qi 委蛇貌托养元气
'wei'yi'pan'zuo'meng'zhong'ren 为伊判作梦中人
'wei'yi'zhi'dian'zai'lai'yuan 为伊指点再来缘
'wei'yong'chu'shan'na'dei'zhuo 味永出山那得浊
'wei'you'xian'sheng'zai 为有先生在
'wei'yu'hua'jian'hua'xian 微雨花间画闲
'wei'yuan'jie'lai'sheng 惟愿结来生
'wei'yun'yu'shi 微云欲湿
'wen'ge'dao'ci'en'zhen'ge 问割到慈恩真个
'wen'ge'jian'bei'yong'fu'jin 文格渐卑庸福近
'wen'gui'hong 问归鸿
'wen'hou'duan'mian'ting'gao'ge 文侯端冕听高歌
'wen'jun'he'shi'qing'li'bie 问君何事轻离别
'wen'nv'he'shi'fu'ming'zong'ru'shui 问女何事浮名总如水
'wen'rou'bu'zhu'zhu'he'xiang 温柔不住住何乡
'wen'ta'shui'leng'shui'wen 问他谁冷谁温
'wen'wo'he'xin 问我何心
'wen'xun'ya'chun'shu 问讯讶春疏
'wen'zhang'he'you'lao'bo'lan 文章合有老波澜
'wen'zi'liang'er'qu 问字两儿趋
'wen'zi'zhen'tao'ni 文字真韬匿
'weng'zi'xu'fa'bai 翁自须发白
'wo'bu'tan'shui'li 我不谈水利
'wo'bu'wei'gui'fu'bu'you 我不畏鬼复不忧
'wo'cong'suo'sui'sou'wen'xian 我从琐碎搜文献
'wo'du'bu'diao'shi 我独不吊诗
'wo'fang'jiu'liu'bai'shi'tan'yan'ba 我方九流百氏谈宴罢
'wo'fei'jiao'yu'wen 我非剿迂闻
'wo'ge'wu'zui'gong'wu'nu 我歌无罪公无怒
'wo'gu'lian'qi'zhen 我固怜其真
'wo'guan'ji'fu'jian 我观畿辅间
'wo'jin'luo'tuo'he'suo'zhi 我今落拓何所止
'wo'lei'hao'ru'xue 我泪浩如雪
'wo'lun'wen'zhang'shu'zhong'wan 我论文章恕中晚
'wo'pin'wu'jiu'qian 我贫无酒钱
'wo'quan'tian'gong'chong'dou'sou 我劝天公重抖擞
'wo'ru'tiao'guan'chun 我如髫丱淳
'wo'shen'wo'bu'you 我身我不有
'wo'sheng'shou'zhi'tian 我生受之天
'wo'shi'ren'jian'chou'chang'ke 我是人间惆怅客
'wo'shou'xi'feng'lei'bu'gan 握手西风泪不干
'wo'shu'gao'yi'chi 我书高一尺
'wo'si'wen'ren'yan 我思文人言
'wo'suo'si'xi'zai'he'chu 我所思兮在何处
'wo'wen'ci'shi 我闻此事
'wo'xi'gong'ren'duan 我喜攻人短
'wo'yi'ceng'mi'tai'cang'su 我亦曾糜太仓粟
'wo'yi'ci'bao'gong 我以此报公
'wo'yi'mu'sheng'lai'bo'jian 我疑慕生来拨箭
'wo'you'di'yi'di 我有第一谛
'wo'you'nan'xing'yi 我又南行矣
'wo'you'ping'sheng'jiao 我有平生交
'wo'you'xin'ling'dong'gui'shen 我有心灵动鬼神
'wo'you'yin'fu'san'bai'zi 我有阴符三百字
'wo'yu'cheng'fu 我欲乘桴
'wo'yu'ji'deng'zhi 我欲跻登之
'wo'yu'shi'jiang'yu 我欲食江鱼
'wo'zhe'jiang'li'hua 我折江蓠花
'wo'zi'zhong'xiao'cheng'zhuan'ce 我自中宵成转侧
'wu'dao'shang'you'qiu 无稻尚有秋
'wu'dong'feng 误东风
'wu'fu'nian'shi'zui'yan'se 无复年时醉颜色
'wu'hu 呜呼
'wu'hu'liao'li 五湖料理
'wu'ji'zhuan'chun'feng 无计啭春风
'wu'jia'zai'zhong'lu 无家在中路
'wu'jing'lan'shu'jia'chang'fan 五经烂熟家常饭
'wu'lai'ren'shi 误来人世
'wu'lao'shang'xiang'sun'xiao'mian 毋劳上相损宵眠
'wu'ling'qiu'po'chen 毋令秋魄沉
'wu'long'jiang'pan 乌龙江畔
'wu'lou'tai'ci'xin 屋漏胎此心
'wu'man'yi'jue'ti 芜蔓宜抉剔
'wu'mei 无寐
'wu'na'can'xiang'ban'lv'nao'duo'qing 无那残香半缕恼多情
'wu'na'chen'yuan'rong'yi'jue 无那尘缘容易绝
'wu'nai'da'guan'biao'shi'kong'qu'qiang 毋乃大官表师空趋跄
'wu'nai'tai'jing'zhong 毋乃太惊众
'wu'neng'liao'ru'er'wu'zhi'ying'xu'xi 吾能料汝二物之盈虚兮
'wu'qin'wei'sui'bai'bu'you 吾琴未碎百不忧
'wu'qu'bi'jing'shi'zhui'dao 误渠毕竟是锥刀
'wu'sang'shi'fu'chun 无桑实负春
'wu'shi'bi'feng'sha 无事避风沙
'wu'shi'nian'zhong'yan'ding'yan 五十年中言定验
'wu'shu'xiang'nan'jian'wai'min 无数湘南剑外民
'wu'si'hua'zuo'hui'wen'zhi 乌丝画作回纹纸
'wu'ti'yu'xiao 乌啼欲晓
'wu'tu'xu'bin'jin'ban'cang 勿徒须鬓矜斑苍
'wu'wu 呜呜
'wu'wu'fu'wu'wu 呜呜复呜呜
'wu'wu'juan'ye 呜呜卷叶
'wu'xiang'lan'tai'xun 毋向兰台寻
'wu'xiang'ren'jian'lao 勿向人间老
'wu'yan'an'jiang'hong'lei'dan 无言暗将红泪弹
'wu'ye'jian'jian'meng'zao'xing 午夜鹣鹣梦早醒
'wu'yi'men'di 乌衣门第
'wu'yi'xiang'kou'lv'yang'yan 乌衣巷口绿杨烟
'wu'you'yi'jian'jing'jiang'shui 无由一溅荆江水
'wu'yu'chu'ci'jian'guo'feng 吴歈楚词兼国风
'wu'yu'cong'zi'shi'geng'jia 吾欲从兹事耕稼
'wu'yu'wen'tian'yi 无语问添衣
'wu'yue'jian'cun'huo 无月见村火
'wu'zhao'yi'huan'guo'wei'zhuang 武昭以还国威壮
'xi'ba'er'jin'shuo 细把而今说
'xi'bei'you'jiao'yun 西北有娇云
'xi'chuang'jian'zhu 西窗翦烛
'xi'chuang'liang'yu'guo 西窗凉雨过
'xi'chuang'zhu 西窗烛
'xi'fang'jing'guo'wei'ke'dao 西方净国未可到
'xi'feng'bu'guan 西风不管
'xi'feng'chui'lao'dan'feng'shu 西风吹老丹枫树
'xi'feng'duo'shao'hen 西风多少恨
'xi'feng'ming'luo'wei 西风鸣络纬
'xi'feng'yi'ye'jian'ba'jiao 西风一夜剪芭蕉
'xi'hua'ren'qu'hua'wu'zhu 惜花人去花无主
'xi'hua'xu'zi'ai 惜花须自爱
'xi'jia'yu'bao'kan'xiu'se 犀甲玉枹看绣涩
'xi'jiao'che'ma'yi'zhao'jin 西郊车马一朝尽
'xi'jiao'luo'hua'ge 西郊落花歌
'xi'jiao'luo'hua'tian'xia'qi 西郊落花天下奇
'xi'jin'dong'hua'chen'tu'fou 洗尽东华尘土否
'xi'jin'kuang'ming'xiao'jin'xiang 洗尽狂名消尽想
'xi'jin'qiu'jiang'ri'ye'chao 洗尽秋江日夜潮
'xi'jun'xing'jiang'fa 惜君行将发
'xi'la'zou'zu'yin 夕拉驺卒饮
'xi'li'an'piao'jin'jing'ye 淅沥暗飘金井叶
'xi'lin'diao'ba'dong'lin'he 西邻吊罢东邻贺
'xi'qiang'ku'shu'tai'zong'heng 西墙枯树态纵横
'xi'shan'feng'bo'jiao'bu'ren 西山风伯骄不仁
'xi'shan'meng'hu'chi'ren 西山猛虎吃人
'xi'su'ku'bu'geng 习俗苦不更
'xi'suan'qian'sou'du'ci'he 细算千艘渡此河
'xi'xi'cui'mu'zhong 栖栖翠幕中
'xi'xi'dou'cheng'jue 昔昔都成玦
'xi'xi'suo'suo 淅淅索索
'xi'xing'san'bai'li 西行三百里
'xi'yang'hai'lian'lu'pang'ya 夕阳还恋路旁鸦
'xi'yang'he'shi'jin'huang'hun 夕阳何事近黄昏
'xi'yang'hu'xia'zhong'yuan'qu 夕阳忽下中原去
'xi'yuan'za'yong'he'sun'you'yun'er'shi'shou'qi'er'shi 西苑杂咏和荪友韵二十首其二十
'xi'yue'long'zong'xia 夕月隆宗下
'xi'yun'lu'yi'zhao 西云露一爪
'xi'zai'you'qing'li'xiang'xiao'nan'kong 惜哉幽情丽想销难空
'xi'zhe'he'xin'nu'ze'fen 喜者何心怒则愤
'xi'zhong'yi'fu'wu'zhi'yin 席中亦复无知音
'xi'zhou'yuan'bie 西洲怨别
'xia'bi'qi'yu'he'li'li 下笔绮语何漓漓
'xia'bi'qing'shen'bu'zi'chi 下笔清深不自持
'xia'fu'yi'lai'mu'qu'qu 夏父以来目瞿瞿
'xia'gu'qi'chen'lun 侠骨岂沉沦
'xia'hou'shi'te'zhong 夏后氏特重
'xia'xian'bu'si'chu'xian'hao 下弦不似初弦好
'xia'yan'bi'xian'lu 下言避贤路
'xia'zhong'long'jian'guang 匣中龙剑光
'xian'du'yu'jing 仙都玉京
'xian'fei'xian'su 闲飞闲宿
'xian'jia'ji'quan'jin'lai'fei 仙家鸡犬近来肥
'xian'jie'xiao'li'bei'huang'liang 闲阶小立倍荒凉
'xian'ling'shi'gong'fei'wu'kua 仙灵识公非诬夸
'xian'ming'xia'hai'bin 衔命下海滨
'xian'ren'zheng'ren'shi'yi'guan 仙人正人事一贯
'xian'sha'ruan'hong'chen'li'ke 羡杀软红尘里客
'xian'sheng'du'shu'jin'san'zang 先生读书尽三藏
'xian'sheng'huan'hou'xiong'tan'jian 先生宦后雄谈减
'xian'sheng'song'chun'ren'you'chi 先生送春人又嗤
'xian'sheng'tan'chun'ren'bu'jue 先生探春人不觉
'xian'sheng'xu'ji'zai'bian'nian 先生续集再编年
'xian'shi'di'shi'shu'zheng'yan 弦师笛师数征宴
'xian'yi'chu'huan'ke'lian'chong 仙姨初豢可怜虫
'xian'yu'huang'zhi'ming'zhao 衔玉皇之明诏
'xian'zhen'chuang'wai'guo 仙真窗外过
'xiang'an'pian'tou'yuan'luo'duo 香案偏头院落多
'xiang'bi'you'yi'mei 相彼蚴攲梅
'xiang'che'guo 香车过
'xiang'dui'wang'pin 相对忘贫
'xiang'gua'guo'yan'qian 向瓜果筵前
'xiang'jian'ti'chan'yuan 想见涕潺湲
'xiang'jian'ting'yun'fa'hao'ge 想见停云发浩歌
'xiang'jian'wei'cheng 想鉴微诚
'xiang'kan'hao'chu'que'wu'yan 相看好处却无言
'xiang'kan'reng'si'ke 相看仍似客
'xiang'lian'yi'ruo 香怜易爇
'xiang'mei'an'shi'cang'tou'zi 香煤暗蚀藏头字
'xiang'qin'su'xiao 乡亲苏小
'xiang'ru'huang'jin'ding'he'yi 相如黄金定何益
'xiang'san'cui'lian'duo'zai'shui 香散翠帘多在水
'xiang'si'chi'ru'wu'chu'hong'li'hua 相思迟汝五出红梨花
'xiang'si'xiang'fang'xi'ao'yu'gu'zhong 相思相访溪凹与谷中
'xiang'si'xiang'wang'bu'xiang'qin 相思相望不相亲
'xiang'si'yi'ye 相思一叶
'xiang'xiao'meng'leng 香消梦冷
'xiang'xiao'qing'meng'hai 香销轻梦还
'xiang'yin'hua'jian'jian 乡音哗謇謇
'xiang'yue'tian'feng'chui'wo 湘月天风吹我
'xiang'za'shui'chen'sheng 香杂水沉生
'xiang'zhu'wu'sheng 湘竹无声
'xiang'zun'qian 向尊前
'xiao'bi'gao'huang'shi'ba'hou 笑比高皇十八侯
'xiao'bie'feng'si'yu'ye'si 小别风丝雨也丝
'xiao'chen'jing'du'wu'huang'fu'da'ru'chun'huang 小臣敬睹吾皇福大如纯皇
'xiao'chi'yan'xiao'fu'lian'qing 小池烟晓拂奁轻
'xiao'dan'qie'kong'fang 小胆怯空房
'xiao'jin'nian'luan'piao'feng'bo 笑今年鸾飘凤泊
'xiao'jing'wu'jiu'shi'wu'she 鵁鶄误僦鼫鼯舍
'xiao'juan'qing'shan'yu'zi'xie 笑卷轻衫鱼子缬
'xiao'lai'ke'ji'cha'kua'fu 晓来客籍差夸富
'xiao'li'hen'yin'shui 小立恨因谁
'xiao'meng'yi'xian'qu 宵梦亦先驱
'xiao'ren'chou'si'xu 笑人愁似许
'xiao'ru'zui'hu'chi'ru'lun 虓如醉虎驰如轮
'xiao'se'lan'cheng'kan'lao'qu 萧瑟兰成看老去
'xiao'ta'bo'fu 消他薄福
'xiao'ta'duo'bing'yu'chang'pin 笑他多病与长贫
'xiao'xi'dou'fang'fu'lao'jing 消息都防父老惊
'xiao'xi'shui'chuan'dao'ju'shuang 消息谁传到拒霜
'xiao'xiao'huang'ye'bi'shu'chuang 萧萧黄叶闭疏窗
'xiao'yin'ru'dou'da'ru'hu 小印如斗大如斛
'xiao'yong'feng'hua'dian'liu'chao 笑咏风花殿六朝
'xiao'you'he'men'ju 孝友阖门俱
'xiao'you'xian'ci'shi'wu'shou'xuan'wu'shou 小游仙词十五首选五首
'xiao'yu'lai'yan 小玉来言
'xiao'zai'jie'nan'chou'zhi'gong 消灾解难畴之功
'xiao'zhi'shi'chuan'cu 笑指逝川徂
'xiao'zhong'qiao'po 晓钟敲破
'xiao'zi'zhong'chen'yi'chuan'cheng 孝子忠臣一传成
'xie'fen'qiu'qiong'sao 屧粉秋蛩扫
'xie'gong'xie'si'min 谢公谢斯民
'xie'niang'bie'hou'shui'neng'xi 谢娘别后谁能惜
'xie'shang'luo'jian'bo 写上罗笺薄
'xie'ting'shu'dao'shi 谢庭书到时
'xie'xiang'ming'chang'wu'xing'shi 携向名场无姓氏
'xie'yang'zhi'qi'zhao'shu'cheng 斜阳只乞照书城
'xie'yi'hua'ping'si'wang'shi 斜倚画屏思往事
'xie'yi'xun'long'kan'hua'ping 斜倚熏笼看画屏
'xie'yin'zu'feng'liu 偕隐足风流
'xin'bi'qiu'lian'ku 心比秋莲苦
'xin'bi'yu'lu'wen 心比玉炉温
'xin'dao'chi'er'duo'hou'fu 信道痴儿多厚福
'xin'gan'he'qing'zhen 心肝何清真
'xin'gan'xian'zi'jin 心肝纤滓尽
'xin'hui'jin 心灰尽
'xin'ji'ru'ci'qing 心迹如此清
'xin'ku'zui'lian'tian'shang'yue 辛苦最怜天上月
'xin'lun'mo'shi'bing 心轮莫是冰
'xin'mie'lei'yi'mie 心灭泪亦灭
'xin'pu'xin'liu'san'nian'da 新蒲新柳三年大
'xin'qi'bian'ge'tian'ya 心期便隔天涯
'xin'shi'ru'luan'yun 新诗如乱云
'xin'shi'zong'heng'zi'yi'jia 心史纵横自一家
'xin'tong'liu'shui'qing 心同流水清
'xin'xu'qi'mi 心绪凄迷
'xin'yao'xin'ling'zong'xin'bing 心药心灵总心病
'xin'zhi'chu'yan'chun'yun'guo 新知触眼春云过
'xin'zi'yi'cheng'hui 心字已成灰
'xing'hua'wu'shou'qi'er 杏花五首其二
'xing'kuai'lv'jin'pan 行鲙缕金盘
'xing'lai'shi'fang'xun'wei'wen 醒来时芳讯微闻
'xing'lu'yi 行路易
'xing'nian'er'shi'jiu 行年二十九
'xing'qiao'you'ying'he'gu 星桥又迎河鼓
'xing'ren'mu'pi'shu 星壬暮癖殊
'xing'sui'shang'le'sheng'peng'ying 行随赏乐胜蓬瀛
'xing'wang'man'yan 兴亡满眼
'xing'ye'wu'liao 醒也无聊
'xing'yi'yi'yun'jian 行役亦云艰
'xing'yun'yu'du'lian'jing'qu 行云欲度帘旌去
'xiong'li'que'gao'han 雄丽却高寒
'xiong'nu'zuo'bi'wu'sun'wang 匈奴左臂乌孙王
'xiong'xian'guan'yu 雄县观鱼
'xiong'zhong'ling'qi'yu'cheng'yun 胸中灵气欲成云
'xiong'zhong'yu'mi'shi'mo'chuan 胸中语秘世莫传
'xiu'ba'lao'jiao'zeng 羞把老蛟罾
'xiu'ju'juan'chun'xin 秀句镌春心
'xiu'kou'xiang'han 袖口香寒
'xiu'ping'shen'suo'feng'xiao'han 绣屏深锁凤箫寒
'xiu'shuo'sheng'sheng'hua'li'zhu 休说生生花里住
'xiu'yuan'shen'chen'shui'shi'zhu 绣院深沉谁是主
'xiu'zhi'wei'hua'teng 休只为花疼
'xiu'zhong'fang'cao'qi'bu'xiang 袖中芳草岂不香
'xu'bu'xian 须不羡
'xu'shen'he'bi'ding'kui'gao 许身何必定夔皋
'xu'you'yu 盱有馀
'xu'yu'huang'hun'hou 絮语黄昏后
'xu'zhi'dao 须知道
'xu'zhi'ming'shi'qing'cheng 须知名士倾城
'xuan'kan'qing'xu'pu'lian'gou 旋看轻絮扑帘钩
'xuan'se'tan'kong'jie'xi'cun 选色谈空结习存
'xuan'ya'yi'xian'tian'yi'lie 悬崖一线天疑裂
'xuan'yi'jin'xiao'ying 旋移近小楹
'xue'hou'shui'zhe'yan'jiao'cui 雪后谁遮檐角翠
'xue'yi'geng 雪一更
'xun'fang'cao'xiao'si'ji'meng 寻芳草萧寺记梦
'xun'huan'wu'ji 循环无极
'xun'si'qi 寻思起
'yan'bei'feng'luan'mi'wai'shi 砚北峰峦米外史
'yan'di'feng'guang'liu'bu'zhu 眼底风光留不住
'yan'er'mei'lin'xia'gui'fang'shi'han'chou 眼儿媚林下闺房世罕俦
'yan'er'mei'zhong'yuan'ye'you'gan 眼儿媚中元夜有感
'yan'guang'bo'chu'feng'you'mi 烟光薄处蜂犹觅
'yan'han'bi'li 严寒觱篥
'yan'kan'ji'quan'shang'tian'ti 眼看鸡犬上天梯
'yan'li'ling'long'yue 烟里玲珑月
'yan'qian'er'wan'li'feng'lei 眼前二万里风雷
'yan'qian'lu'lie'cheng'wu'yue 眼前胪列成五岳
'yan'shan'luo'qi'gao'wu'jia 弇山罗绮高无价
'yan'sheng'yuan'xiang'xiao'guan'qu 雁声远向萧关去
'yan'shuang'huan 掩双环
'yan'si'si'bu'sheng 烟丝似不胜
'yan'xin'yue'jiu'zhang'xiang'cong 烟新月旧长相从
'yan'xing'jiao'xiang'guan'fa'lue 言行较详官阀略
'yan'yin'ping 掩银屏
'yan'zhong'xia'niu'yang 烟中下牛羊
'yan'zi'ji'tou'hong'liao'yue 燕子矶头红蓼月
'yan'zi'yi'ran 燕子依然
'yang'ji'dong'feng'xiu'qian'yu'ren'zhi 央及东风休遣玉人知
'yang'liu'si 杨柳丝
'yang'liu'zha'ru'si 杨柳乍如丝
'yang'shi'yi'bai'yun'juan'kong 仰视一白云卷空
'yang'yang'chao'ye'jian 洋洋朝野间
'yang'zhi'lu'di 杨枝露滴
'yao'cheng'bi'hai'nan'ben 药成碧海难奔
'yao'fang'zhi'fan'gu'shi'dan 药方只贩古时丹
'yao'lan'xie'shou'xiao'hun'lv 药阑携手销魂侣
'yao'lu'chu'fei'duan'qing'qing 药炉初沸短檠青
'yao'luo'hou 摇落后
'yao'tiao'qiu'xing'huo'shi'jun 窈窕秋星或是君
'yao'tiao'wu'nong 窈窕吴侬
'yao'zhi'du'ting'deng'qian'yu 遥知独听灯前雨
'ye'dian'san'shi'jiu'bu'yi 夜奠三十九布衣
'ye'du'pan'yu'ji'shu'qi'wei 夜读番禺集书其尾
'ye'guo'mao'ling'wen'tai'xi 夜过茂陵闻太息
'ye'he'ceng'kuang'zui 也何曾狂醉
'ye'he'hua 夜合花
'ye'he'liao'kan'chao'zou'ma 也何聊看潮走马
'ye'he'yin'zeng'you 野鹤吟赠友
'ye'jian'gu'hua'ming 叶翦孤花明
'ye'jiu'bian'sheng'ji 夜久边声寂
'ye'lai'chou'sun'xiao'yao'zhi 夜来愁损小腰肢
'ye'shen'qian'zhang'deng 夜深千帐灯
'ye'si'shi'you'lei'pang'tuo 夜思师友泪滂沱
'ye'su'jin'huang'cheng 野宿近荒城
'ye'wei'chun'yong 也为春慵
'ye'wen'xie'xu'lei'pang'tuo 夜闻邪许泪滂沱
'ye'ye'tie'hua'han 夜夜铁花寒
'ye'ye'zhe'yi'ming 夜夜辄一鸣
'ye'yong'ru'yuan'quan 夜涌如原泉
'ye'yu'zuo'cheng'qiu 夜雨做成秋
'ye'zuo 夜坐
'yi'ban'can'yang'xia'xiao'lou 一半残阳下小楼
'yi'ban'xiao'shou 一般消受
'yi'ban'yi'dao'shang'xin'chu 一般易到伤心处
'yi'bei'guan'qing 一倍关情
'yi'bian'liao'xian'jia'qiao'shu 一编聊献郏侨书
'yi'bie'ru'si 一别如斯
'yi'bu'jian'jiu'zhou'ming'liu'yi'ci'tong 亦不见九州名流一刺通
'yi'bu'yu'ba'ling'qing'shao'nian 亦不遇灞陵轻少年
'yi'chai'yi'pei'duan'zhi'wen 一钗一佩断知闻
'yi'chi'ping'shui 一池萍水
'yi'chun'you'meng'you'wu'jian 一春幽梦有无间
'yi'cun'chun'xin'hong'dao'si 一寸春心红到死
'yi'dai'gong'ling'kai 一代功令开
'yi'dai'gong'shang'chuang'sheng'mian 一代宫商创生面
'yi'dai'ren'cai'qi 一代人材起
'yi'dai'ren'cai'you'sui'cha 一代人材有岁差
'yi'deng'bai'bi'ran'shi'ju 一灯败壁然诗句
'yi'deng'zha'ming'mie 一灯乍明灭
'yi'deng'zhan'zhang'li 一灯毡帐里
'yi'di'fei'lai 一笛飞来
'yi'duo'gu'hua 一朵孤花
'yi'fa'bu'ke'qian 一发不可牵
'yi'fu'nu'yong'mu 一夫怒用目
'yi'fu'qi'chu'zhi 一夫起锄之
'yi'fu'yun'lin'gao'shi'hua 一幅云林高士画
'yi'ge'shi'gong'ju 一歌使公惧
'yi'gong'deng'qian'he'shou'wei'yi'shu 忆共灯前呵手为伊书
'yi'hang'bai'yan'yao'tian'mu 一行白雁遥天暮
'yi'he'tian'juan'bie 亦荷天眷别
'yi'hua'lu'zhong'zhui 一花露中坠
'yi'jian'hai'jun'jun'mo'wen 一剑还君君莫问
'yi'jiao'hong'chuang'di'qian'yue 一角红窗低嵌月
'yi'jiao'xi'nan'bai 一角西南白
'yi'jing'lv'yun'xiu'zhu'yuan 一径绿云修竹怨
'yi'ju'mei'tai'hen 衣裾莓苔痕
'yi'kuang'yi'xia'yi'wen'wen 亦狂亦侠亦温文
'yi'lan'wu'xu'bu'neng'chou 倚阑无绪不能愁
'yi'li'chun'chao'han'man'sheng 一例春潮汗漫声
'yi'lou'chu'shang'yi'ge'feng 一楼初上一阁逢
'yi'men'ding'sheng'qin'feng'ya 一门鼎盛亲风雅
'yi'ming'si'bi'jing 一鸣四壁静
'yi'ni'ren'cai'hai'nei'kong 一睨人材海内空
'yi'nian'neng'ji'tuan'yuan'yue 一年能几团圆月
'yi'pian'cheng'huang'zhen'bi'liu 一片城荒枕碧流
'yi'pian'mai'chou'di 一片埋愁地
'yi'pian'miao'gao'yun 一片妙高云
'yi'pian'shang'xin'hua'bu'cheng 一片伤心画不成
'yi'pian'shang'xin'yu'hua'nan 一片伤心欲画难
'yi'pian'you'qing'leng'chu'nong 一片幽情冷处浓
'yi'pian'yun'hong'cai'zhu'yu 一片晕红才著雨
'yi'qi'miao'fei'xi 意气渺非昔
'yi'qin'e'long'tan'kou 忆秦娥龙潭口
'yi'qiu'shi'ri'jiu'hu'shan 一秋十日九湖山
'yi'qu'bian'chou'nan'xie 一曲边愁难写
'yi'ran'tu'hua'zhong 依然图画中
'yi'ran'wu'zhu 依然无主
'yi'ran'yi'ju'wei'gui'an 毅然一炬为归安
'yi'ri'suo'lv'li 一日所履历
'yi'ri'xin'qi'qian'jie'zai 一日心期千劫在
'yi'rong'zai 遗容在
'yi'sha'deng'qian'zui'bu'xing 一霎灯前醉不醒
'yi'shan'tu'qi'qiu'ling'du 一山突起丘陵妒
'yi'shang'bai'qian'shen 衣裳百千身
'yi'shen'hai'bei'fu'ming'shu 一身还被浮名束
'yi'sheng'chang'zui 一生长醉
'yi'sheng'lai 忆生来
'yi'sheng'sheng 一声声
'yi'sheng'tan'zhi'lei'ru'si 一声弹指泪如丝
'yi'sheng'yi'dai'yi'shuang'ren 一生一代一双人
'yi'shi'nan'wei'chun 一室难为春
'yi'shi'ping'sheng'wu'yi'he 一事平生无齮龁
'yi'shi'shi'nian'zong'ji'shi'nian'xin 已是十年踪迹十年心
'yi'shi'wu'cheng'yi'ru'ci 一事无成已如此
'yi'shuang'tong'shen'she'qiu'shui 一双瞳神射秋水
'yi'si'nan'chou'guo'shi'zhi 一死难酬国士知
'yi'suo'dian'he'zhi'xin'tong 一索钿盒知心同
'yi'tian'fei'xu'yin'yin 一天飞絮愔愔
'yi'tong'tian'he'shu'ou'yang 易通田何书欧阳
'yi'wang'qing'shen'shen'ji'xu 一往情深深几许
