'a'ji'mi'de'qiao'ji 阿基米德巧计
'che'liang'qin'wu 车辆勤务
'che'liang'wan'hao'lv 车辆完好率
'che'liang'yun'shu 车辆运输
'che'liang'yun'xing 车辆运行
'che'liang'yun'yong'ping'zheng 车辆运用凭证
'che'liang'zai'ju 车辆载具
'che'liang'zhi'liang'fen'ji 车辆质量分级
'che'lun'shi'he'zai 车轮式荷载
'che'lun'zhan'fa 车轮战法
'che'nei'kong'jian 车内空间
'che'pao 车炮
'che'pao'chang 车炮场
'che'pao'chang'ri 车炮场日
'che'qi'fu 车骑府
'che'qi'jiang'jun 车骑将军
'che'qiao'zhan'yi 车桥战役
'che'ri 车日
'che'xia 车下
'che'xiang 车厢
'che'xiao'dan'bao 撤销担保
'che'yong 车用
'che'za'er'cheng'zhi 车杂而乘之
'che'zai 车载
'che'zai'shi 车载式
'che'zhan 车战
'che'zhan'shi'dai 车战时代
'che'zhang 车长
'che'zhang'guan'cha'jing 车长观察镜
'che'zhe 车辙
'che'zhe'dao 车辙道
'che'zhe'lu'mian 车辙路面
'che'zhe'qiao 车辙桥
'chen'di'lei 沉底雷
'chen'di'shui'lei 沉底水雷
'chen'shu'he'shen'bian 陈述和申辩
'chen'wu 沉物
'chen'yu'cheng 陈玉成
'cheng'bi'bu'yu 乘彼不虞
'cheng'che'xing'jun 乘车行军
'cheng'che'zhan'dou 乘车战斗
'cheng'di'yin'xun 乘敌因循
'cheng'di'zhi'xi 乘敌之隙
'cheng'du'jun'qu 成都军区
'cheng'guo'fa 成果法
'cheng'ji'si'han 成吉思汗
'cheng'jian'ji'xia 乘间击暇
'cheng'jiang'xi'di 乘降袭敌
'cheng'luan'yan'ji 乘乱掩击
'cheng'qi'suo'zhi 乘其所之
'cheng'qian 程潜
'cheng'sheng'sheng 称生胜
'cheng'sheng'wan'li'fu 乘胜万里伏
'cheng'shi'fang'yu 城市防御
'cheng'shi'fang'yu'gong'cheng 城市防御工程
'cheng'shi'wei'zhuang 城市伪装
'cheng'shi'zhan'dou 城市战斗
'cheng'tao'bian'pei 成套编配
'cheng'tao'zhe'zhang 成套遮障
'cheng'wei'ming'jun 成为明军
'cheng'xi'tong 成系统
'cheng'xiang'zhi'liang 成像质量
'cheng'xu 程序
'cheng'xu'er'ru 乘虚而入
'cheng'xu'fei'xing 程序飞行
'cheng'yuan'bi'dan'suo 乘员避弹所
'cheng'yuan'zuo'yi 乘员座椅
'chi'bi'zhi'zhan 赤壁之战
'chi'che'qian'si 驰车千驷
'chi'cheng'hao 赤城号
'chi'dao'dai 赤道带
'chi'jiu'xing'du'ji 持久性毒剂
'chi'jiu'zhan 持久战
'chi'shui 吃水
'chi'shui'shen 吃水深
'chi'shui'shen'du 吃水深度
'chi'xiao 赤霄
'chi'xu'dong'yuan 持续动员
'chi'yi'tie'qiang 持一铁枪
'chi'zhan 斥战
'chi'zhi 迟滞
'chi'zhong'dai'ji 持重待机
'chong'die'she'fu 重叠设伏
'chong'die'she'ji 重叠射击
'chong'feng'hao 冲锋号
'chong'feng'qiang 冲锋枪
'chong'feng'zhou 冲锋舟
'chong'gou 冲沟
'chong'guan 铳管
'chong'ji'bo 冲击波
'chong'ji'bo'chao'ya 冲击波超压
'chong'ji'bo'dong'ya 冲击波动压
'chong'ji'bo'xiao'ying 冲击波效应
'chong'ji'chu'fa'zhen'di 冲击出发阵地
'chong'ji'huo'li'zhun'bei 冲击火力准备
'chong'ji'ji'zhun'shi'jian 冲击基准时间
'chong'ji'kai'shi'shi'jian 冲击开始时间
'chong'ji'lu'xian 冲击路线
'chong'ji'mu'biao 冲击目标
'chong'ji'pao'huo'zhun'bei 冲击炮火准备
'chong'ji'shang 冲击伤
'chong'ji'ya'li 冲击压力
'chong'ji'zhun'bei 冲击准备
'chong'jian 重建
'chong'leng 充冷
'chong'tan 重弹
'chong'xian 重陷
'chong'xin'shi'she 重新试射
'chong'ya'gong'yi 冲压工艺
'chong'yang 充氧
'chong'zhuang'kong'tou'san 重装空投伞
'chu'ban 础板
'chu'bei'biao'zhun 储备标准
'chu'bei'li'cheng 储备里程
'chu'bu'jue'xin 初步决心
'chu'che 出车
'chu'che'ming'ling 出车命令
'chu'chu'she'fang 处处设防
'chu'cun'cang'ku 储存仓库
'chu'di'bu'yi 出敌不意
'chu'dong'lv 出动率
'chu'fa'bao'zha 触发爆炸
'chu'fa'cheng'xu 处罚程序
'chu'fa'ji'chang 出发机场
'chu'fa'shui'lei 触发水雷
'chu'fa'xian 出发线
'chu'fa'yin'xin 触发引信
'chu'ji 出击
'chu'ju'bao'zheng'shu 出具保证书
'chu'ju'shu'mian'sheng'ming 出具书面声明
'chu'lei'jia 储雷架
'chu'lian 出联
'chu'qi'bu'yi 出其不意
'chu'qiang'si 出枪似
'chu'qin'che'ri 出勤车日
'chu'shi 初驶
'chu'su 初速
'chu'xian 触线
'chu'xian'shui'lei 触线水雷
'chu'xue 初雪
'chu'xue'ji'qu'zhu'jian 初雪级驱逐舰
'chu'you'yue'xing 出优越性
'chu'zhan 初战
'chu'zhi'dao 初制导
'chu'zhi'tu'fa'shi'jian 处置突发事件
'chuan'bang'dai 传帮带
'chuan'bao 传爆
'chuan'bao'xi'lie 传爆系列
'chuan'bao'yao 传爆药
'chuan'cha 穿插
'chuan'di'shi'xian 传递时限
'chuan'dong'he'xing'dong 传动和行动
'chuan'dong'xi 传动系
'chuan'dong'xi'tong 传动系统
'chuan'dong'zhuang'zhi 传动装置
'chuan'dui'bian'zu'ti'dui 船队编组梯队
'chuan'hua'kong 传话孔
'chuan'huo'kong 传火孔
'chuan'huo'kong'kou 传火孔口
'chuan'jia 穿甲
'chuan'jia'dan 穿甲弹
'chuan'jia'ran'shao'dan 穿甲燃烧弹
'chuan'lian'zhun'bao'dian'liu 串联准爆电流
'chuan'ma'yin'di 船马引敌
'chuan'piao'chuan'huan 传票传唤
'chuan'ru'zhong'yuan 传入中原
'chuan'shan'jun'qu 川陕军区
'chuan'shi'jia'hui'zhe'dao 传世家徽折刀
'chuan'shu'chuan'zhen 传输传真
'chuan'shu'dian'bao 传输电报
'chuan'shu'dian'shi 传输电视
'chuan'shu'shu'ju 传输数据
'chuan'shu'xin'xi 传输信息
'chuan'shu'zhi'ling'xian 传输指令线
'chuan'ting'yun'shu 船艇运输
'chuan'tong'che'ti 传统车体
'chuan'tong'jiao'yu 传统教育
'chuan'tong'zhan'fa 传统战法
'chuan'yun'tu 穿云图
'chuan'yun'xia'jiang 穿云下降
'chuan'zai'zhi'yuan 船载支援
'chuan'zai'zhi'yuan'pao'bing 船载支援炮兵
'chuan'zhen'dian'bao 传真电报
'chuan'zhen'tong'xin 传真通信
'chuang'zao'zhan'ji 创造战机
'chui'ji'shi 锤击式
'chui'zhi'bao'wei 垂直包围
'chui'zhi'deng'lu 垂直登陆
'chui'zhi'fa'she'zhuang'zhi 垂直发射装置
'chui'zhi'gao 垂直高
'chui'zhi'hang'kong'she'ying 垂直航空摄影
'chui'zhi'hang'kong'zhao'xiang 垂直航空照相
'chui'zhi'qi'jiang 垂直起降
'chui'zhi'qi'luo 垂直起落
'chui'zhi'qi'luo'fei'ji 垂直起落飞机
'chui'zhi'tu'ji 垂直突击
'chui'zhi'zhang'ai 垂直障碍
'chui'zhi'zhang'ai'wu 垂直障碍物
'chui'zhi'zhe'zhang 垂直遮障
'chun'qiu'chang'fu 春秋常服
'chun'qiu'chang'fu'jian'zhang 春秋常服肩章
'chun'qiu'da'dao 春秋大刀
'chun'yu'hao'qu'zhu'jian 春雨号驱逐舰
'ci'bei 磁北
'ci'bing'jia'zhi'sheng 此兵家之胜
'ci'bing'qi 此兵器
'ci'dao 刺刀
'ci'ding 刺钉
'ci'gong'zhi'zai'ye 此攻之灾也
'ci'hang'xiang 磁航向
'ci'ji'xing'du'ji 刺激性毒剂
'ci'kou'jing 次口径
'ci'kou'jing'chuan'jia'dan 次口径穿甲弹
'ci'kou'jing'pao'dan 次口径炮弹
'ci'li'ji 磁力计
'ci'li'tan'ce'yi 磁力探测仪
'ci'mou'gong'zhi'fa'ye 此谋攻之法也
'ci'pian'jiao 磁偏角
'ci'sha'ji'ben'dong'zuo 刺杀基本动作
'ci'sha'xun'lian 刺杀训练
'ci'sheng 次声
'ci'sheng'bo'tan'ce 次声波探测
'ci'sheng'wu'qi 次声武器
'ci'tan'yi 磁探仪
'ci'wu'zhe 此五者
'ci'xing'ding'shi'shui'lei 磁性定时水雷
'ci'xing'lei 磁性雷
'ci'xing'shui'lei 磁性水雷
'ci'yao'fang'yu'fang'xiang 次要防御方向
'ci'yao'zuo'zhan'fang'xiang 次要作战方向
'ci'zi'wu'xian 磁子午线
'cong'lin'ban'dian 丛林斑点
'cong'lin'shu'ma 丛林数码
'cong'lin'wang 丛林王
'cong'lin'wang'hao 丛林王号
'cong'qiu'xing 从球形
'cong'shi'zhan'chu'fa 从实战出发
'cong'yan 从严
'cu'long 粗垅
'cu'tie 粗铁
'cui'hui'wei'xing 摧毁卫星
'cui'hui'zhan'lue'dao'dan 摧毁战略导弹
'cui'lei'dan 催泪弹
'cui'lei'xing'du'ji 催泪性毒剂
'cun'su 存速
'cun'wang'zhi'dao 存亡之道
'cun'yu'ji'qu'zhu'jian 村雨级驱逐舰
'cun'zheng'duan'yao'dao 村正短妖刀
'cun'zi'wei'zhan 村自为战
'cuo'luan'mi'ma 错乱密码
'da'bao'po 大爆破
'da'bei'bao 打背包
'da'bu'jian'mie 大部歼灭
'da'chai'you'bing 打柴诱兵
'da'da'ni'er'hai'xia 达达尼尔海峡
'da'dang'liang 大当量
'da'dang'liang'he'bao'zha 大当量核爆炸
'da'dang'liang'he'wu'qi 大当量核武器
'da'dao'jin'xing'qu 大刀进行曲
'da'di'ce'liang 大地测量
'da'di'dian 大地点
'da'di'ji'chu'zhu'yuan 大地基础诸元
'da'di'ji'zhun'zhi'dao 大地基准制导
'da'di'kong'zhi'dian 大地控制点
'da'di'zhi'qin'ye 大敌之擒也
'da'dui'zhang 大队长
'da'duo'qu'zhu'jian 大多驱逐舰
'da'fan'chong'ji 打反冲击
'da'feng'hao 大凤号
'da'gu'kou 大沽口
'da'gui'mo 大规模
'da'hou'lue'jiao 大后掠角
'da'huang'feng 大黄蜂
'da'huang'feng'zhan'dou'ji 大黄蜂战斗机
'da'huo'guan 打火管
'da'jian'xing 大剑形
'da'jiang'jun 大将军
'da'jin'men'dao 大金门岛
'da'jun'qu 大军区
'da'jun'qu'ji 大军区级
'da'kai'tian'xian 打开天线
'da'kai'zhi'dao'tian'xian 打开制导天线
'da'kou'jing 大口径
'da'kou'jing'qiang'dan 大口径枪弹
'da'lao'jiu'sheng'chuan 打捞救生船
'da'li'shi 大力士
'da'liang'gong'ying 大量供应
'da'lie'tu'xi 打猎突袭
'da'long 大垅
'da'lu'jia 大陆架
'da'lu'peng 大陆棚
'da'lu'xing'qi'hou 大陆性气候
'da'ma 大马
'da'ma'shi'ge 大马士革
'da'ma'zhi'wu 大麻植物
'da'mao 大贸
'da'mo'zhang 达摩杖
'da'mu'dan 达姆弹
'da'pi'liang'fei'ji 大批量飞机
'da'qi'ceng 大气层
'da'qi'ceng'he'shi'yan 大气层核试验
'da'qi'ji'guang'tong'xin 大气激光通信
'da'qi'tan'ce 大气探测
'da'qi'ya 大气压
'da'qi'yao'gan'tan'ce 大气遥感探测
'da'san'guan 大散关
'da'sao'zhan'chang 打扫战场
'da'sheng'chan'yun'dong 大生产运动
'da'si'ma 大司马
'da'tong'dao'lu 打通道路
'da'wei 大尉
'da'wei'li'shou'qiang'dan 大威力手枪弹
'da'xi'yang'bi'lei 大西洋壁垒
'da'xiao 大校
'da'xing'lie'wu 大型猎物
'da'xing'shou'gong'lie'dao 大型手工猎刀
'da'xing'yun'shu'ji 大型运输机
'da'xiong'xing'zuo 大熊星座
'da'xiu 大修
'da'xiu'xi 大休息
'da'xiu'xi'di'yu 大休息地域
'da'yan'fang'pao 打眼放炮
'da'yao'su 大要素
'da'ying'xing 大鹰型
'da'yuan'shuai 大元帅
'da'zai'bu'bing 搭载步兵
'da'zha'zu 打炸阻
'da'zhan'lue 大战略
'da'zhuang'men'qiao 大桩门桥
'da'zhuang'men'qiao 打桩门桥
'da'zong'shen'li'lun 大纵深理论
'da'zong'shen'zhan'yi 大纵深战役
'dai'du'di'qu 待渡地区
'dai'fa'zhuang'tai 待发状态
'dai'fu'you'di 绐俘诱敌
'dai'gong 代供
'dai'guan 代管
'dai'hao 代号
'dai'ji 待机
'dai'ji'di'yu 待机地域
'dai'ji'dian 待机点
'dai'ji'hu'hang 待机护航
'dai'ji'jian'di 待机歼敌
'dai'ji'she'ji 待机射击
'dai'jia'shi'wan 带甲十万
'dai'jun 带菌
'dai'jun'kun'chong 带菌昆虫
'dai'ming'fa'she 待命发射
'dai'ming'kai'ji'zhi'ban 待命开机值班
'dai'shi 带式
'dai'shi'qiao 带式桥
'dai'shi'zhou'qiao 带式舟桥
'dai'xing'zhen'di 袋形阵地
'dai'yong'zhen'di 待用阵地
'dai'yun'di'qu 待运地区
'dai'yun'di'yu 待运地域
'dai'zhan 待战
'dai'zi 代字
'dan'bao'ren'ling'hui 担保人领回
'dan'biao'dai'ti'zuo'ye 单表代替作业
'dan'bing 单兵
'dan'bing'fu'he 单兵负荷
'dan'bing'fu'he'liang 单兵负荷量
'dan'bing'huo'jian 单兵火箭
'dan'bing'wei'zhuang'qi'cai 单兵伪装器材
'dan'bing'wu'qi 单兵武器
'dan'bing'zhuang'bei 单兵装备
'dan'cang 弹仓
'dan'ce'fa 弹测法
'dan'chang 弹长
'dan'che 单车
'dan'dai 弹带
'dan'dao 弹道
'dan'dao'dao'dan 弹道导弹
'dan'dao'di 弹道低
'dan'dao'gao 弹道高
'dan'dao'ji'suan 弹道计算
'dan'dao'mo'duan 弹道末端
'dan'dao'qie'xian 弹道切线
'dan'dao'qu 弹道区
'dan'dao'shi'dao'dan 弹道式导弹
'dan'dao'xue 弹道学
'dan'dao'yao'su 弹道要素
'dan'dao'zhun'bei 弹道准备
'dan'dao'zui'da'gao'du 弹道最大高度
'dan'dao'zui'gao'dian 弹道最高点
'dan'dong 单动
'dan'du'shi'yong 单独使用
'dan'er 弹耳
'dan'fa'zhan'dou'ji 单发战斗机
'dan'fa'zu'tie 单发阻铁
'dan'fa'zu'tie'huang 单发阻铁簧
'dan'fang'zhan'shu'yan'xi 单方战术演习
'dan'ge'he'tu'ji 单个核突击
'dan'ge'jiao'lian 单个教练
'dan'ge'mu'biao 单个目标
'dan'ge'qi'bao'dian'liu 单个起爆电流
'dan'gou'qiang 单勾枪
'dan'gu 弹鼓
'dan'guan 单管
'dan'hua'qian 氮化铅
'dan'huo 弹或
'dan'ji 弹迹
'dan'jian 单舰
'dan'jian 单箭
'dan'jian'gong'ji 单舰攻击
'dan'jian'xun'lian 单舰训练
'dan'jing 弹径
'dan'ke 弹壳
'dan'keng 弹坑
'dan'keng'qiao 弹坑桥
'dan'lian 弹链
'dan'lian'he'rong'liang 弹链盒容量
'dan'lie 单列
'dan'lie'di'lei 单列地雷
'dan'lu'tong'xin 单路通信
'dan'ma 单码
'dan'mu'she'ji 弹幕射击
'dan'ren 单人
'dan'ren'yan'ti 单人掩体
'dan'shang'yi'qi 弹上仪器
'dan'shao 单哨
'dan'shi'dao'ren 但是刀刃
'dan'shou'tu'ji'dao 单手突击刀
'dan'shou'wo'chi 单手握持
'dan'ta'zhu'yao'yi'kao 但它主要依靠
'dan'ti 弹体
'dan'ting 单艇
'dan'ting'gong'ji 单艇攻击
'dan'tou 弹头
'dan'tou'dang'liang 弹头当量
'dan'tou'dong'neng 弹头动能
'dan'tou'fan'she'mian'ji 弹头反射面积
'dan'tou'huo'li 弹头活力
'dan'tou'jian'ce 弹头检测
'dan'tou'jiang'luo'liang 弹头降落量
'dan'tou'wei'li 弹头威力
'dan'tou'zhong'dian 弹头终点
'dan'tou'zhong'liang 弹头重量
'dan'wan 弹丸
'dan'wei'ya'li 单位压力
'dan'xia'kou 弹匣扣
'dan'xia'kou'huang 弹匣扣簧
'dan'xia'rong'liang 弹匣容量
'dan'xia'zuo 弹匣座
'dan'xian'tie'lu 单线铁路
'dan'xiang 单向
'dan'xiang'tong'xin 单向通信
'dan'xiang'wen'ding'qi 单向稳定器
'dan'xiang'yun'shu 单向运输
'dan'ya'yue 单牙月
'dan'yao 弹药
'dan'yao'biao'ji 弹药标记
'dan'yao'ji'shu 弹药基数
'dan'yao'ji'shu'jian'cha 弹药技术检查
'dan'yao'ku 弹药库
'dan'yao'pei'tao'bao'guan 弹药配套保管
'dan'yao'shou 弹药手
'dan'yao'suo 弹药所
'dan'yao'zhuan'yun'zhan 弹药转运站
'dan'yuan'ce'liang 单元测量
'dan'zha 单扎
'dan'zhuo'dian 弹着点
'dang'mian'qing'kuang 当面情况
'dang'mian'zhi'di 当面之敌
'dang'ni'ban 挡泥板
'dang'qian'ren'wu 当前任务
'dang'ri 党日
'dang'ri'ren'wu 当日任务
'dang'wei 党委
'dang'wei'kuo'da'hui'yi 党委扩大会议
'dang'wei'zhi 党委制
'dang'wu'er'shi'shi 当吾二十石
'dang'wu'er'shi'zhong 当吾二十钟
'dang'zheng'ling'dao'gan'bu 党政领导干部
'dang'zhi'bu 党支部
'dang'zhong'yi'dian 当中一点
'dao'bao'fa'chuan'bao'fa 导爆法传爆法
'dao'bao'fa'dian'huo'fa 导爆法点火法
'dao'bao'suo 导爆索
'dao'biao 导标
'dao'chuang'hou'du 道床厚度
'dao'da'shi'xian 到达时限
'dao'dan'bu'dui 导弹部队
'dao'dan'can'hai 导弹残骸
'dao'dan'ce'shi 导弹测试
'dao'dan'chui'zhi'zhu'cun 导弹垂直贮存
'dao'dan'dan'tou 导弹弹头
'dao'dan'dan'tou'luo'dian 导弹弹头落点
'dao'dan'di'mian'she'bei 导弹地面设备
'dao'dan'fa'she 导弹发射
'dao'dan'fa'she'fen'dui 导弹发射分队
'dao'dan'fa'she'gong'shi 导弹发射工事
'dao'dan'fa'she'jia 导弹发射架
'dao'dan'fa'she'zhen'di 导弹发射阵地
'dao'dan'fa'she'zhuang'zhi 导弹发射装置
'dao'dan'fa'she'zhun'bei 导弹发射准备
'dao'dan'fei'xing 导弹飞行
'dao'dan'fei'xing'cheng'xu 导弹飞行程序
'dao'dan'fei'xing'qing'kuang 导弹飞行情况
'dao'dan'fei'xing'shi'jian 导弹飞行时间
'dao'dan'fei'xing'shi'yan 导弹飞行试验
'dao'dan'fu'yi'qi 导弹服役期
'dao'dan'gen'zong 导弹跟踪
'dao'dan'gong'ji 导弹攻击
'dao'dan'gong'ji'lei'da 导弹攻击雷达
'dao'dan'hang'qu 导弹航区
'dao'dan'he'wu'qi 导弹核武器
'dao'dan'huo'li'ji'hua 导弹火力计划
'dao'dan'ji'di 导弹基地
'dao'dan'ji'shu'bao'zhang 导弹技术保障
'dao'dan'ji'shu'zhen'di 导弹技术阵地
'dao'dan'jie'dian 导弹接电
'dao'dan'jie'dian'zhun'bei 导弹接电准备
'dao'dan'miao'zhun 导弹瞄准
'dao'dan'qi'fei'zhong'liang 导弹起飞重量
'dao'dan'qian'ting'bu'dui 导弹潜艇部队
'dao'dan'she'cheng 导弹射程
'dao'dan'she'ji'jing'du 导弹射击精度
'dao'dan'she'ji'zhu'yuan 导弹射击诸元
'dao'dan'she'jie 导弹射界
'dao'dan'she'xiang 导弹射向
'dao'dan'sheng'kong 导弹升空
'dao'dan'shi'yan'ba'chang 导弹试验靶场
'dao'dan'shi'yan'chang 导弹试验场
'dao'dan'shi'yan'ji'di 导弹试验基地
'dao'dan'shu 导弹数
'dao'dan'shu'liang 导弹数量
'dao'dan'ting 导弹艇
'dao'dan'tu'ru 导弹突入
'dao'dan'tui'jin'ji 导弹推进剂
'dao'dan'wu'qi'xi'tong 导弹武器系统
'dao'dan'xi'tong 导弹系统
'dao'dan'xing'hao 导弹型号
'dao'dan'xing'neng 导弹性能
'dao'dan'xun'lian'chang 导弹训练场
'dao'dan'yao'ce 导弹遥测
'dao'dan'yi'qi'she'bei 导弹仪器设备
'dao'dan'ying 导弹营
'dao'dan'zhi'hui'yi 导弹指挥仪
'dao'dan'zong'he'xi'tong 导弹综合系统
'dao'dan'zui'da'she'cheng 导弹最大射程
'dao'dan'zui'xiao'she'cheng 导弹最小射程
'dao'dan'zuo'zhan'ji'di 导弹作战基地
'dao'fa'xian 到发线
'dao'gao'yi'zhang 道高一丈
'dao'ge'la'si'gong'si 道格拉斯公司
'dao'hang'dian 导航点
'dao'hang'fang'fa 导航方法
'dao'hang'lei'da 导航雷达
'dao'hang'she'bei 导航设备
'dao'hang'sheng'na 导航声纳
'dao'hang'tai 导航台
'dao'hang'wei'xing 导航卫星
'dao'hang'xi'tong 导航系统
'dao'hang'zhi'dao 导航制导
'dao'huo'suo 导火索
'dao'huo'suo'dian'huo'fa 导火索点火法
'dao'jiang'xie'hui 刀匠协会
'dao'jiao 岛礁
'dao'jiao'qu 岛礁区
'dao'ju'shu'yu 刀具术语
'dao'ke'lv 到课率
'dao'lu'bao'zhang 道路保障
'dao'lu'biao'zhi 道路标志
'dao'lu'wang 道路网
'dao'lu'wei'hu 道路维护
'dao'ma'tu'qiang 捣马突枪
'dao'qi'gu 导气箍
'dao'qi'huo'sai 导气活塞
'dao'qi'shi 导气式
'dao'qi'tong 导气筒
'dao'qi'zhuang'zhi 导气装置
'dao'qiao 道桥
'dao'qiao'lian 道桥连
'dao'tou 道头
'dao'yan'ji'hua 导演计划
'dao'yin'fei'xing'qi 导引飞行器
'dao'yin'tou 导引头
'dao'yu 岛屿
'dao'yu'fang'yu 岛屿防御
'dao'yu'fang'yu'zhan'dou 岛屿防御战斗
'dao'yu'jin'gong 岛屿进攻
'dao'yu'jin'gong'zhan'yi 岛屿进攻战役
'dao'yu'yun'shu 岛屿运输
'dao'zhan 导战
'dao'zhe 道者
'de'ban 德斑
'de'guo'chuan'tong'zhe'dao 德国传统折刀
'de'guo'ren 德国人
'de'guo'suo'lin'gen 德国索林根
'de'guo'zhi 德国制
'de'jun'fang'xian 德军防线
'de'ke'sa'si'hao 得克萨斯号
'de'lai'se 德莱塞
'de'shou 得手
'de'suan'duo'ye 得算多也
'de'suan'shao'ye 得算少也
'de'ting 地听
'de'yi'zhi'hao 德意志号
'deng'chuan 灯船
'deng'gao'ju 等高距
'deng'gao'xian 等高线
'deng'guang'tong'xin 灯光通信
'deng'guang'xin'hao 灯光信号
'deng'huo'guan'zhi 灯火管制
'deng'huo'wei'zhuang 灯火伪装
'deng'ji'bei'cha 登记备查
'deng'lu'bian'dui 登陆编队
'deng'lu'bing 登陆兵
'deng'lu'chang 登陆场
'deng'lu'chong'ji 登陆冲击
'deng'lu'di'duan 登陆地段
'deng'lu'di'yu 登陆地域
'deng'lu'dian 登陆点
'deng'lu'dui'xing 登陆队形
'deng'lu'gong'ju 登陆工具
'deng'lu'ji'di 登陆基地
'deng'lu'jian 登陆舰
'deng'lu'jie'duan 登陆阶段
'deng'lu'shi'ji 登陆时机
'deng'lu'shu'song'dui 登陆输送队
'deng'lu'shun'xu 登陆顺序
'deng'lu'ting 登陆艇
'deng'lu'tu'ji 登陆突击
'deng'lu'xian'qian'zhi'dui 登陆先遣支队
'deng'lu'zhan'dou 登陆战斗
'deng'lu'zhan'yi 登陆战役
'deng'lu'zuo'zhan 登陆作战
'deng'qi'xie'mian 等齐斜面
'deng'shan'jia 登山家
'deng'shen'ju 等深距
'deng'shen'xian 等深线
'deng'su'she 等速射
'deng'xiao'ping 邓小平
'deng'yu'lei 等鱼雷
'deng'zhuang 灯桩
'di'bao 地堡
'di'bao'lian 地爆连
'di'bao'shi'yan 地爆试验
'di'bian'wo'bian 敌变我变
'di'biao 地标
'di'biao'xing'zhi 地表性质
'di'bu'pen'qi 底部喷气
'di'bu'pen'qi'liu'dan 底部喷气榴弹
'di'dang'zhan'dou'ji 低档战斗机
'di'dao'gong'shi 地道工事
'di'dao'shui'yuan'jing 地道水源井
'di'dao'wang 地道网
'di'dao'zhan 地道战
'di'di'dao'dan 地地导弹
'di'di'zhan'shu'dao'dan 地地战术导弹
'di'duan'tiao'li'yuan 地段调理员
'di'er'dai'li'ren 第二代理人
'di'er'dai'san'bing'san 第二代伞兵伞
'di'er'fa 第二发
'di'er'fang'mian'jun 第二方面军
'di'er'ti'dui 第二梯队
'di'er'ye'zhan'jun 第二野战军
'di'er'yu'zhou'su'du 第二宇宙速度
'di'er'zhen'di 第二阵地
'di'fan'tan'ke'huo'qi 敌反坦克火器
'di'fang'bing 地方兵
'di'fang'bu'dui 地方部队
'di'fang'hong'jun 地方红军
'di'fang'jun 地方军
'di'fang'shi 地方时
'di'fang'wu'zhuang 地方武装
'di'fu 地幅
'di'gui'dao 低轨道
'di'guo'zhu'yi'zhan'zheng 帝国主义战争
'di'hou 敌后
'di'hou'guan'cha'she'ji 敌后观察射击
'di'hou'you'ji'zhan 敌后游击战
'di'hou'zhan'chang 敌后战场
'di'hou'zhen'cha 敌后侦察
'di'hou'zuo'zhan 敌后作战
'di'hua'xue'xi'ji 敌化学袭击
'di'huo 底火
'di'huo'xia 敌火下
'di'huo'xia'yun'dong 敌火下运动
'di'ji 地极
'di'ji 敌机
'di'ji'di 敌基地
'di'ji'ju'li 敌机距离
'di'jian'lv 递减率
'di'jiao 地角
'di'jie 低界
'di'jin'she'ji 抵近射击
'di'jin'wo'jin 敌进我进
'di'jin'wo'tui 敌进我退
'di'jing 地境
'di'kong 低空
'di'kong'bao'zha 低空爆炸
'di'kong'dao'dan 地空导弹
'di'kong'dao'dan'bing 地空导弹兵
'di'kong'dao'dan'bu'dui 地空导弹部队
'di'kong'fei'xing 低空飞行
'di'kong'fei'xing'zhen'cha 低空飞行侦察
'di'kong'mang'qu 低空盲区
'di'kong'mu'biao 低空目标
'di'kong'tong'xin 地空通信
'di'kong'xing'neng 低空性能
'di'lei'bao'po 地雷爆破
'di'lei'bao'po'qi'cai 地雷爆破器材
'di'lei'chang 地雷场
'di'lei'qun 地雷群
'di'lei'zhan 地雷战
'di'lei'zhan'qi'cai 地雷战器材
'di'li'tu 地理图
'di'li'zuo'biao 地理坐标
'di'mao'te'zheng'dian 地貌特征点
'di'mao'tu 地貌图
'di'mian'bao'zha 地面爆炸
'di'mian'biao'zhi 地面标识
'di'mian'dao'hang'she'bei 地面导航设备
'di'mian'fa'she 地面发射
'di'mian'feng 地面风
'di'mian'he'bao'zha 地面核爆炸
'di'mian'he'shi'yan 地面核试验
'di'mian'huo'li'cui'hui 地面火力摧毁
'di'mian'huo'pao 地面火炮
'di'mian'ji'dong'fa'she 地面机动发射
'di'mian'mang'qu 地面盲区
'di'mian'mu'biao 地面目标
'di'mian'neng'jian'du 地面能见度
'di'mian'pao'bing 地面炮兵
'di'mian'pao'bing'qun 地面炮兵群
'di'mian'qi'xiang'guan'ce 地面气象观测
'di'mian'ran'du 地面染毒
'di'mian're'xiang'yi 地面热像仪
'di'mian'tian'qi'tu 地面天气图
'di'mian'xun'wen'ji 地面询问机
'di'mian'yao'ce'zhuang'zhi 地面遥测装置
'di'mian'zhan 地面站
'di'mian'zhan'dou'jie'duan 地面战斗阶段
'di'mian'zhao'she'lv 地面照射率
'di'mian'zhen'cha 地面侦察
'di'mian'zhi'hui'yin'dao 地面指挥引导
'di'mian'zuo'zhan 地面作战
'di'pao 地炮
'di'pao 敌炮
'di'pao'qun 地炮群
'di'pao'she'cheng 敌炮射程
'di'pao'zhen'di'dian'hua 地炮阵地电话
'di'pao'zhi'hui'ji 地炮指挥机
'di'pi'wo'da 敌疲我打
'di'qian'deng'lu 敌前登陆
'di'qing'bao'gao 敌情报告
'di'qing'tu 敌情图
'di'qing'yan'jiu 敌情研究
