'a'mu'bu'jia'nv 阿母不嫁女
'qi'bu'nian'qiu'yuan 岂不念丘园
'qi'bu'zeng'yang'yi 岂不增怏悒
'qi'chang'chuan'ge'guo'jiang'qu 齐唱船歌过江去
'qi'chang'xian'wang'chun'yue'fu 齐唱宪王春乐府
'qi'chu'heng'men'wai 骑出横门外
'qi'duan'hui'lian'ju 凄断惠连句
'qi'er 其二
'qi'fu'si'hou'shi 岂复思后世
'qi'fu'xing'rong'si'jiu'shi 岂复形容似旧时
'qi'fu'zhi'you'zhang'sui'yang 岂复知有张睢阳
'qi'hen'cang'gong'zao 岂恨藏弓早
'qi'ji'guang'guo'wen'deng'ying 戚继光过文登营
'qi'ji'guang'pan'shan'jue'ding 戚继光盘山绝顶
'qi'jian'feng'lu'fa 气兼风露发
'qi'jin'bai'tou'xiang'bie'lei 泣尽白头相别泪
'qi'jing'liao'kuo'hu'qian'nian 骑鲸寥廓忽千年
'qi'juan'yi'he'zao 弃捐一何早
'qi'lai'hong'ri'zhao 起来红日照
'qi'lian'geng'ge'wan'chong'shan 祁连更隔万重山
'qi'liang'cang'hai'wei 凄凉沧海隈
'qi'liang'du'you'xian'yang'mo 凄凉独有咸阳陌
'qi'liang'yu'jiu'hun'yan'zui 凄凉欲就魂筵醉
'qi'lin'xian'hua'huo'jiang'jun 麒麟先画霍将军
'qi'nian'he'ren'shi'gu'fen 起辇何人识故坟
'qi'niao'shan'kong'shi'yi'ming 栖鸟山空时一鸣
'qi'qi'jiang'han'qing 凄其江汉情
'qi'ran'yao'nan'xun 凄然杳难寻
'qi'ru'chang'hong'zang'yu'fu 气如长虹葬鱼腹
'qi'ru'zhuan'zhe'duo 其如转折多
'qi'sang'you'zeng'bu'ke'jian 畦桑有增不可减
'qi'she'chen'zhong'yi'kong'bi 弃舍尘中倚空壁
'qi'sheng'ri'qiao'ji 棋声日敲击
'qi'shi'yu'sheng'yi'bai'tou 七十馀生已白头
'qi'shu'han'xun'li 岂数汉循吏
'qi'tan'xiu'luo'shang 起探绣罗裳
'qi'wu'xuan'ri'yue 岂无悬日月
'qi'xia'ling'shang'jin'hui'shou 栖霞岭上今回首
'qi'xiang'dong'feng'diao'gu'qin 泣向东风吊故亲
'qi'xiang'yue'zhong'li 起向月中立
'qi'xiao'wu'mou'wu'gui'mi 妻笑吾眸无鬼迷
'qi'yi 其一
'qi'yi'piao'ling'zhang'hai'tou 岂意飘零瘴海头
'qi'yu'chang'nian'zuo'jiu'qian 乞与长年作酒钱
'qi'yue'yu'jin'tian'qi'qing 七月欲尽天气清
'qi'zhi'shi'chuang'shang 弃置石床上
'qi'zuo'shan'he'jin'ji'gu 气作山河今即古
'qian'che'song'zang'cheng'nan'mo 千车送葬城南陌
'qian'feng'jun'ge'wang'cuo'e 千峰郡阁望嵯峨
'qian'gu'chuan'e'deng'er'xi 千古传讹等儿戏
'qian'jin'gou'chu'lian'jia'er 千金购出练家儿
'qian'ku'shi'zhu'shuang'pan'long 前矻石柱双蟠龙
'qian'kun'fu'yang'yi'bu'ji 乾坤頫仰意不极
'qian'kun'hao'dang'shen'nan'ji 乾坤浩荡身难寄
'qian'li'di'shui'suo 千里地谁缩
'qian'li'gu'zhou'ji'shui'pang 千里孤舟济水旁
'qian'li'wei'huang'tian 千里惟荒田
'qian'li'xiang'si'na'dei'wen 千里相思那得闻
'qian'lin'ru'qiu'lu'qi'qing 千林入秋露气清
'qian'men'wan'hu'sen'xiang'tong 千门万户森相通
'qian'mou'gu'huai'zhe 潜谋固坏蛰
'qian'nian'hai'shang'jian'ci'miao 千年海上见祠庙
'qian'nian'huan'mi'xiang'hu'xi 前年换米向湖西
'qian'nian'qiu'xia'zhong'piao'mei 前年秋夏重漂没
'qian'nian'yi'hen'qi'ying'xiong 千年遗恨泣英雄
'qian'nian'yi'xiang'shi'zhen'nan 千年遗像识真难
'qian'qing'lu'hua'ren'wei'huan 千顷芦花人未还
'qian'qiu'bu'jin'zhong'yuan'lei 千秋不尽中原泪
'qian'qiu'bu'yi'jian 千秋不一见
'qian'qiu'kong'fu'qing 千秋空复青
'qian'qiu'yi'zhan'tiao 千秋一瞻眺
'qian'qun'gao'mei'qian'lian'chu 茜裙缟袂搴帘出
'qian'ren'wan'gui'jing'huan'hu 千人万鬼惊欢呼
'qian'ren'wan'ren'ce'er'ting 千人万人侧耳听
'qian'ri'hu'bao'jin'sha'chong 前日虎豹今沙虫
'qian'san'guo 前三国
'qian'shan'ri'she'jiao'long'ku 千山日射蛟龙窟
'qian'shi'hua'yue'song'shi'chun 钱时花月宋时春
'qian'wei'wan'zu'mi'wu'jin 犍为万卒迷无津
'qian'wo'shu'xia'xing 牵我树下行
'qian'zai'lai'ren'shui'yi'qiu 千载来人水一丘
'qian'zai'shang'feng'yan 千载尚风烟
'qian'zhe'ben'fei'ming'zhu'yi 迁谪本非明主意
'qian'zhong'sang'ma'hou'li'zao 前种桑麻后梨枣
'qian'zuo'dan'fu'shui'ai'xi 遣作担夫谁爱惜
'qiang'bi'gu'wu'fen 墙壁固吾分
'qiang'bing'yi'ye'du'fei'hu 强兵一夜度飞狐
'qiang'ji'sui'shou'bu'zi'mou 戕肌碎首不自谋
'qiao'bian'you'you'wei'shao'shu 桥边犹有未烧书
'qiao'cui'ping'sheng'chen'tu'ji 憔悴平生尘土迹
'qiao'yu'yin'qin'liu'guo'ke 巧语殷勤留过客
'qie'di'yi'xiang'ren'bi'fen 箧底遗香任婢分
'qie'dong'qu 妾东去
'qie'fei'chang'jia'ren 妾非倡家人
'qie'jia'zhu'hong'qiao 妾家住虹桥
'qie'jin'neng'shi'wu'tou'bai 妾今能使乌头白
'qie'shen'yi'bao'qiao'bian'zhu 妾身已抱桥边柱
'qin'fu'hu'chen'dai'xiao'kan 亲拂胡尘带笑看
'qin'guan'zuo'ye'yi'shu'gui 秦关昨夜一书归
'qin'huang'kong'ci'yi'huang'jin 秦皇空此瘗黄金
'qin'peng'jiu'shi'qun 亲朋久失群
'qin'shi'ming'yue'yu'gong'xuan 秦时明月玉弓悬
'qin'wei'zi'zhu'zhou 亲为姊煮粥
'qin'xi'hu'song'dong'zhu'hou 秦玺忽送东诸侯
'qing'cheng'shi'nv'xie'tong'er 倾城士女携童儿
'qing'fan'dai'yu'xie 轻帆带雨斜
'qing'feng'fu'chui'shang 清风复吹裳
'qing'feng'yi'xia'duan'kuang'hui 青锋一下断狂虺
'qing'feng'yi'zhen'nan'chuang'wo 清风一枕南窗卧
'qing'ge'bi'shui'lu'zou'che 轻舸蔽水陆走车
'qing'jia'fu'zhai'chang'wang'zu 倾家负债偿王租
'qing'jiang'xian'diao'zhu 清江闲钓竹
'qing'ke'fan'cheng'wan'li'yin 顷刻翻成万里阴
'qing'ke'xing'ming'qing'hong'mao 顷刻性命轻鸿毛
'qing'kuang'man'shan'shi 青筐满山市
'qing'lin'yi'shui'bin 青磷一水滨
'qing'lu'wu'sheng'wan'mu'zhong 清露无声万木中
'qing'luan'duo'ji'wan'nian'zhi 青鸾多集万年枝
'qing'luo'gang'ji'yi'shen'wei 青螺刚济一身危
'qing'ming'shang'he'su'suo'shang 清明上河俗所尚
'qing'niao'ji'shi'sui'a'mu 青鸟几时随阿母
'qing'qing'zhe'yu'liao'wu'ji 青青者榆疗吾饥
'qing'qiu'hu'du'zhang'gong'zi 轻裘鄠杜张公子
'qing'shan'ba'yue'tong'gu'chen 青山八月痛孤臣
'qing'shan'guo'yu'seng'chu'ding 青山过雨僧初定
'qing'shan'jian'ye'cheng 青山建业城
'qing'shan'zuo'song'ren 青山坐送人
'qing'shi'jing'nian'yue 情是经年约
'qing'si'wei'zhi'luo 青丝为之络
'qing'song'lei'pin'shi 青松类贫士
'qing'tai'sheng'ni'jing'mian'suo 青苔生泥獍面锁
'qing'ti'liu'shang'yi 清涕流裳衣
'qing'tian'duan'an'xuan 青天断岸悬
'qing'xi'dong'xia'da'jiang'hui 清溪东下大江回
'qing'ying'chang'sui'wu'xiu'qian 清影长随舞袖前
'qing'ying'xi'nan'yue 请缨系南越
'qing'yuan'duo'lei'zhi'san'sheng 青猿堕泪只三声
'qing'zhan'zai'huan 青毡再还
'qiong'shen'jue'you'xian 穷深抉幽险
'qiu'deng'xiao'ta'liu'gu'ting 秋灯小榻留孤艇
'qiu'feng'chui'di'leng 秋风吹地冷
'qiu'feng'jiang'kou'ting'ming'lang 秋风江口听鸣榔
'qiu'feng'xi'bei'lai 秋风西北来
'qiu'jin'jing'qi'ying'xi'liu 秋尽旌旗营细柳
'qiu'sheng'qi'sai'hong 秋声起塞鸿
'qiu'shuang'diao'nv'luo 秋霜凋女萝
'qiu'tian'luo'mu'chou'duo'shao 秋天落木愁多少
'qiu'tian'wei'guo'qing'shan'yuan 求田未果青山愿
'qiu'wu'ning'chen'an'dian'wen 秋屋凝尘暗簟纹
'qiu'xiao'can'yu'shang'chuang'sha 秋宵残雨上窗纱
'qiu'yin'dang'mu'sheng 秋阴当暮生
'qu'ba'bu'zhi'qing'hai'yue 曲罢不知青海月
'qu'gan'wei'fu'kai'zhe'shui 渠干威福开者谁
'qu'ma'bie'jun'chu 驱马别君处
'qu'ma'chu'guan'men 驱马出关门
'qu'nian'dang'shang'si 去年当上巳
'qu'qu'wu'gui'qi 去去无归期
'qu'qu'yuan'lv'xin 区区远虑心
'qu'ri'you'qiu'shu 去日犹秋暑
'qu'sui'jun'wei'ji'men'ke 去岁君为蓟门客
'qu'sui'ping'ling'gu'sheng'si 去岁平陵鼓声死
'qu'xiang'yi'ge'shi'liu'zai 去乡已隔十六载
'qu'you'qing'ming 瞿佑清明
'qu'you'wu'zhen'jiu'she'ge 瞿佑乌镇酒舍歌
'qu'yuan'si'hou'cheng'yi'shi 屈原死后成遗事
'qu'zhao'tao'wang'xiao'jia'wu 去照逃亡小家屋
'qu'zhi'huai'shang'shu 屈指淮上书
'quan'jun'gao'zhen'qie'zi'ai 劝君高枕且自爱
'quan'jun'zhuo'lao'qie'zi'gu 劝君浊醪且自沽
'quan'sheng'luan'xi'tuan 泉声乱溪湍
'quan'tou'gong'dian'reng'cui'wei 泉头宫殿仍崔嵬
'quan'xia'chang'wen'er'ye'ti 泉下常闻儿夜啼
'quan'xia'shang'xin'ye'lei'liu 泉下伤心也泪流
'que'guai'deng'che'lan'pei'zhe 却怪登车揽辔者
'que'guai'piao'ling'wang'sui'shi 却怪飘零枉岁时
'que'lian'jin'xi'zai'huang'zhou 却怜今夕在黄州
'que'mao'kan'you'jin 鹊毛看又尽
'que'nian'shi'nian'xie'shou'di 却念十年携手地
'que'qiao'jia'shi'cheng 鹊桥驾始成
'que'si'qu'nian'chun 却思去年春
'que'yi'dang'nian'xi'lin'ke 却忆当年细林客
'que'yi'ling'wei'qian'zai'hou 却忆令威千载后
'ran'ran'shuang'fan'du'hai'ya 冉冉双幡渡海涯
'rao'wu'shi'qing'shan 绕屋是青山
'ren'chen'qi'yue'ren'zi'ri 壬辰七月壬子日
'ren'jian'chen'tu'duo'ying'xian 人间尘土多英贤
'ren'jian'chou'xu'zhi'duo'shao 人间愁绪知多少
'ren'jian'chu'chu'xiang'cheng'zhe 人间处处襄城辙
'ren'jian'chun'se'tai'wu'qing 人间春色太无情
'ren'jian'qin'ti'tie'qi'lai 人见亲提铁骑来
'ren'jian'tian'shang'ge'xing'han 人间天上隔星汉
'ren'jian'wan'shi'an'ke'zhi 人间万事安可知
'ren'jian'wei'you'li'chang'ji 人间惟有李长吉
'ren'jiang'wang'yi'wen'he'cheng 人将望驿问何程
'ren'jin'bu'kan'gong'zhuan'le 人尽不堪公转乐
'ren'lai'you'wan'yao'ling'long 人来游玩摇玲珑
'ren'min'bu'yi'shan'chuan'tong 人民不异山川同
'ren'qing'shui'de'si'qing'shan 人情谁得似青山
'ren'qu'ming'mie'ying'zhong'ren 任渠明灭影中人
'ren'qu'xin'yi'hua 认取辛夷花
'ren'ren'zheng'dao'de'biao'gui 人人争道得标归
'ren'sheng'gan'yi'qi 人生感意气
'ren'shi'bai'nian'shui'gu'rou 人世百年谁骨肉
'ren'wu'shi'ta'xiang 人物是他乡
'ren'xin'jie'yuan'ru'gu'sui 人心嗟怨入骨髓
'ren'you'yu'liang'niu'you'cao 人有余粮牛有草
'ren'yu'gong'chai'fei 人语共柴扉
'ren'yun'tian'shang'yue 人云天上月
'ren'zhong'sheng'tian'fei'yi'ri 人众胜天非一日
'ri'fan'long'ku'dong 日翻龙窟动
'ri'guan'fan'xuan'bi'hai'liu 日观翻悬碧海流
'ri'luo'liang'shan'xi 日落梁山西
'ri'luo'wan'tian'bi 日落晚天碧
'ri'mu'hai'jia'wu'jiu'qian 日暮还家无酒钱
'ri'mu'jing'bi'shui'de'duo 日暮竞比谁得多
'ri'ri'xiang'kan'hao'yan'se 日日相看好颜色
'ri'ri'yan'zhong'wei 日日掩重闱
'ri'xie'cao'yuan'niu'xing'chi 日斜草远牛行迟
'rong'hua'shao'gu'en 荣华少故恩
'rong'ma'dong'fang'hou 戎马东防后
'rong'ma'wu'xiu'xie 戎马无休歇
'rong'rong'chun'cao'shi 茸茸春草时
'rong'shuai'bu'gan'lun 荣衰不敢论
'ru'cao'zi'si'ping'yuan'jun 汝曹自死平原君
'ru'guan'you'zong'e'pang'ju 入关又纵阿房炬
'ru'he'shu'ji'chao 如何属疾朝
'ru'he'tian'que'mi'hao'qiu 如何天阙觅好逑
'ru'jin'fang'cao'ye'wu'ti 如今芳草野乌啼
'ru'jin'wu'de'quan'shen'ji 如今悟得全身计
'ru'jun'du'men'fu'bu'fang 如君杜门复不妨
'ru'jun'qi'guan'yi'bu'e 如君弃官亦不恶
'ru'neng'po'zhi'wei'ru'yu 汝能破之惟汝欲
'ru'sheng'bu'jie'shi 儒生不解事
'ru'sheng'zhong'bao'zhu 儒生终报主
'ru'yi'yu'duo'nan 汝亦遇多难
'ru'zhuan'bai'yu'chu'shang'wang 入馔白鱼初上网
'rui'gong'bie'you'huan'yu'chu 蕊宫别有欢娱处
'rui'tou'shu'zi'he'zu'yun 锐头竖子何足云
'ruo'ao'zhi'gui'zhong'bu'nei 若敖之鬼终不馁
'ruo'zai'chun'feng'yuan'geng'duo 若在春风怨更多
'sai'bei'jing'nan'xin'wan'li 塞北荆南心万里
'san'bu'hui'tou'wu'bu'chou 三步回头五步愁
'san'chun'hua'luo'shou'jin'yao 三春花落收金钥
'san'fen'fu'han'ye 三分扶汉业
'san'fen'liu'gu'ji 三分留古迹
'san'luo'xing'chen'man'ping'ye 散落星辰满平野
'san'qian'ge'wu'ji 三千歌舞妓
'san'ri'bu'ming'yi'he'chang 三日不鸣意何长
'san'shi'nian'qian'wei'ceng'jian 三十年前未曾见
'san'wu'wei'jin'xi 三五唯今夕
'san'xia'shuang'liu'yu'gui'lin 三峡双流与鬼邻
'san'yue'ding'dao'jia 三月定到家
'san'zhang'ji'pei'qin'chuan'yu 三章既沛秦川雨
'san'zhu'yu'lin'liu'lin'xia 散住榆林柳林下
'sang'zhe'yin'yin'rao'an'zai 桑柘阴阴绕岸栽
'sao'ba'e'mei'shang'ma'chi 扫罢蛾眉上马迟
'sao'ta'yun'lin'bai'zhou'mian 扫榻云林白昼眠
'sha'chang'ru'ye'duo'feng'yu 沙场入夜多风雨
'sha'chang'you'you'wei'zhao'hun 沙场犹有未招魂
'sha'han'shui'bing'dong'shang'gu 沙寒水冰冻伤骨
'sha'ji'nian'guang'cui'niao'zhuan 沙际年光催鸟啭
'sha'qi'bu'ke'mie 杀气不可灭
'sha'qi'shi'ying'gao'jie'shi 杀气始应高碣石
'sha'ren'ru'cao'bu'wen'sheng 杀人如草不闻声
'sha'sheng'luo'ri'xuan'cheng'yu 杀声落日喧城隅
'sha'zui'hu'luo'qian'chi'shui 沙嘴忽落千尺水
'shan'can'shi'ye'huang'jian'lao 山蚕食叶黄茧老
'shan'cheng'fei'xue'bei'feng'lie 山城飞雪北风烈
'shan'cheng'gao'xia'jian'lou'tai 山城高下见楼台
'shan'gao'zhang'li'duo 山高瘴疠多
'shan'hui'gu'xiong'chai'hu'hao 山豗谷汹豺虎嗥
'shan'hun'luo'ri'wei 山昏落日微
'shan'jie'jiu'yi'qing 山接九疑青
'shan'jing'yue'san'geng 山静月三更
'shan'lian'da'lu'pan'san'jin 山连大陆蟠三晋
'shan'qian'ju'min'zhong'he'shu 山前居民种禾黍
'shan'ren'yang'mao'jun'er'xiao 山人养猫俊而小
'shan'se'pian'duo'xue'ji'shi 山色偏多雪霁时
'shan'seng'jin'dao'fo'deng'lai 山僧尽道佛灯来
'shan'shang'qing'bo'shui'shang'chen 山上清波水上尘
'shan'shi'chuan'wo'ti 山石穿我蹄
'shan'shi'jin'yu'jiang'liu'dong 山势尽与江流东
'shan'tou'yue'chu'hu'li'qu 山头月出狐狸去
'shan'wang'miao'zai'shan'shen'chu 山王庙在山深处
'shan'wei'tie'weng'wang'gao'cheng 山围铁瓮望高城
'shan'ying'wan'dian'fei 山萤万点飞
'shan'yue'zhao'shuang'ming 山月照霜明
'shan'zhong'zi'ke'quan'gao'jie 山中自可全高节
'shang'shu'qian'mo'zi'yun'tun 尚书阡陌紫云屯
'shang'xia'zhou'hang'feng'lang'duo 上峡舟航风浪多
'shang'xin'bu'jian'xi'ren'ge 伤心不见昔人歌
'shang'xin'jin'lan'you'yu'zhou 伤心锦缆有渔舟
'shang'xin'zhong'ye'kan'niu'dou 伤心中夜看牛斗
'shang'yan'gu'xiang'hao 上言故乡好
'shang'yi'qin'song'di'bi'liu 尚忆秦松帝跸留
'shang'you'gen'ke'yi 尚有根可依
'shang'you'shu'ke'du 尚有书可读
'shang'yuan'chen'you'jia'pin'chu 上苑宸游驾频出
'shang'yuan'dong'feng'shi'zao'ying 上苑东风试早莺
'shang'zuo'bie'shi'ku 尚作别时哭
'shao'nian'dou'mei'qing'yuan'gong 少年都美清源公
'shao'nian'gong'xie'xue 少年工谐谑
'shao'qian'dao'she'shen 烧钱祷社神
'shao'qing'liu'lu'zi'qing'gui 少卿留虏子卿归
'shao'yao'chu'kai'chi'zhang'yan 芍药初开敕张宴
'shao'zhi'ai'luo'qi 稍知爱罗绮
'she'lu'shu'you'shuo'liang'gong 射虏书犹说两宫
'shen'bing'lie'yao'you'lie'shou 神兵猎妖犹猎兽
'shen'chang'ze'mu'nei'yuan'jie 神厂择木内苑竭
'shen'huai'guo'shi'en 深怀国士恩
'shen'ji'ban'sheng'cheng'di'shi 身迹半生成底事
'shen'ji'tang'po'you'yu'li 深藉汤婆有余力
'shen'ji'yi'zai'gong 沈疾已在躬
'shen'kui'jun'wang'sha'hua'shi 深愧君王杀画师
'shen'lian'ku'yang'jiao'shan 沈炼哭杨椒山
'shen'ling'bu'ling'shui'de'zhi 神灵不灵谁得知
'shen'ming'chen'bie'mu 沈明臣别母
'shen'ming'chen'kai'ge 沈明臣凯歌
'shen'ming'dao'ci'bei'zhang'jian 身名到此悲张俭
'shen'qian'du'zi'shen'shen'bai 神前独自深深拜
'shen'qu'suo'lai'sui'yi'de 伸去缩来随意得
'shen'shan'hei'ye'du'gui'qu 深山黑夜独归去
'shen'shan'qiong'gu'liao'wu'jing 深山穷谷了无惊
'shen'shan'qu'lu'jian'tao'hua 深山曲路见桃花
'shen'wei'yi'zi'gan 身危亦自甘
'shen'wei'zheng'ning'bu'sha'ren 神威狰狞怖杀人
'shen'wei'zuo'ren'jie'liu'yu 身为左衽皆刘豫
'shen'wu'heng'xing'wang'fa'zhu 慎勿横行王法诛
'shen'xi'huan'xin'wu'yi'bao 神喜欢欣乌亦饱
'shen'yi'guan'guan'xuan'shu'nv 沈一贯观选淑女
'shen'yi'guan'ruo'ye'xi'du'wang 沈一贯若耶溪独往
'shen'zai'luo'wang'qie'mo'ai 身在罗网且莫哀
'shen'zhou'ti'hua 沈周题画
'shen'zhou'xie'huai'ji'seng 沈周写怀寄僧
'shen'zhou'yong'lian 沈周咏帘
'sheng'dang'yao'lu'chong 生当要路冲
'sheng'er'xian'gong'lu 生儿先共虏
'sheng'gao'qi'bu'hao 升高岂不好
'sheng'ge'yuan'luo'wang'jia'fu 笙歌院落王家府
'sheng'ge'zai'lou'you'zai'ye 笙歌在楼游在野
'sheng'nan'zhang'cheng'qu'bi'lin 生男长成娶比邻
'sheng'nv'luo'di'si'jia'ren 生女落地思嫁人
'sheng'xi'men'ting'wu'he'ke 剩喜门庭无贺客
'sheng'ya'lian'ru'zi'qiao'su 生涯怜汝自樵苏
'sheng'yi'liang'si'cun 生意谅斯存
'shi'chen'ji'de'ding'ning'yu 侍臣记得丁宁语
'shi'chuang'heng'jia'wan'feng'xi 石床横架万峰西
'shi'er'bi'feng'gao 十二碧峰高
'shi'er'jin'ren'lei'ru'shui 十二金人泪如水
'shi'fu'xiu'tun'ti 时复羞豚蹄
'shi'ji'luan'li'shi 适际乱离时
'shi'jian'guai'shi'na'you'ci 世间怪事那有此
'shi'jian'qi'wei'wu'ying'xiong 世间岂谓无英雄
'shi'jian'wan'shi'bu'de'yi 世间万事不得意
'shi'jian'yi'pu'jin'shui'chuan 世间遗谱今谁传
'shi'jue'qin'jia'wang'mu'shu 始觉秦家网目疏
'shi'kan'liu'ku'xin'ban'du 试看柳枯心半蠧
'shi'lai'hu'lu'yi'cheng'gong 时来胡虏亦成功
'shi'lan'xiao'zhe'wo'cang'tai 石阑销折卧苍苔
'shi'li'quan'wu'li'bie'chang 嗜利全无离别肠
'shi'lin'mao'wu'ge'xi'sheng 石林茅屋隔溪声
'shi'luan'ying'xiong'zhong'si'guo 世乱英雄终死国
'shi'meng'guo'ke'shang 时蒙过客赏
'shi'nan'jiu'pan'yu'yan'jue 世难久拚鱼雁绝
'shi'nian'bu'chi'jiang'zhou'cha 十年不吃江州茶
'shi'nian'zai'yang'zhou 十年在扬州
'shi'nv'you'zhe'jiu'hua'shan 侍女犹遮九华扇
'shi'qu'ren'wang'san'bai'zai 事去人亡三百载
'shi'qu'wu'shi'nian 失去五十年
'shi'ren'zou'xiang'xun 室人走相讯
'shi'shang'men'qian'zuo'ban'you 市上门前作伴游
'shi'shi'rong'ku'wu'dai'wu 世事荣枯无代无
'shi'shi'yu'jin'xiao'kong'rong 时世于今笑孔融
'shi'shu'you'bu'fei 嗜书犹不废
'shi'sui'jiu'bu'yu 十岁久不雨
'shi'tou'cheng'xia'tao'sheng'nu 石头城下涛声怒
'shi'wan'ren'jia'wei'gan'chang 十万人家未敢尝
'shi'wen'ci'shen'jian'bu'jian 试问此身见不见
'shi'wen'ting'qian'lai'wang'ke 试问亭前来往客
'shi'wo'pin'jing'bu'cheng'meng 使我频惊不成梦
'shi'wo'ping'sheng'xin 识我平生心
'shi'xin'sha'jun'ma 始信杀君马
'shi'xu'jing'xin'shang'dao'tu 时序惊心尚道途
'shi'you'chang'tiao'fu'yu'yi 时有长条拂御衣
'shi'you'tao'jun'bo'zao'lai 时有逃军剥枣来
'shi'zai'bu'gui'mao'wu'di 十载不归茅屋底
'shi'zhi'guan'zhang'yi'guan'qu 始知官长移官去
'shi'zhi'huan'le'sheng'you'huan 始知欢乐生忧患
'shi'zhi'meng'gong'hu'hai'ren 始知孟公湖海人
'shi'zhi'sha'zhong'xian 始知沙中蚬
'shi'zi'ge'he'fen'bie'jie 石自隔河分别界
'shi'zi'jie'tou'mai'xing'hua 十字街头卖杏花
'shi'zu'ci'tang'dai'xi'xun 世祖祠堂带夕曛
'shou'an'huang'she'dan'qi'she 手按黄蛇啗其舌
'shou'bo'zhi'qian'jun'bu'jian 手擘纸钱君不见
'shou'chi'san'chi'gan'lei'ting 手持三尺干雷霆
'shou'chi'wan'shan'kui'fang'chen 手持纨扇窥芳尘
'shou'kuang'lin'jing'lan 守筐临镜懒
'shou'lu'wei'xin'qin 手录畏辛勤
'shou'ma'shi'jin'ren'guo'chuang 瘦马食尽人裹疮
'shou'tuan'mai'xie'tao'shui'can 手抟麦屑淘水餐
'shu'chi'lei'zao'you'bu'hui 疏斥累遭犹不悔
'shu'gu'chun'kai'wan'he'bing 黍谷春开万壑冰
'shu'hu'chun'guang'ji'hui'bian 倏忽春光几回变
'shu'jian'tian'ya'zhuan'zi'qin 书剑天涯转自亲
'shu'jin'shuang'yuan'yang 蜀锦双鸳鸯
'shu'ke'wen'li'geng 数可问藜羹
'shu'lou'bu'shi'jun'wang'yi 属镂不是君王意
'shu'lue'bu'dai'xiao 梳掠不待晓
'shu'pin'ji'di'kan 书频寄弟看
'shu'qian'yao'guo'ke'chuang'jian 书签药裹客窗间
'shu'ren'gao'jiao'ren'cui'can 术人高叫任摧残
'shu'ri'sao'che'guai'bu'xiang 数日缲车怪不响
'shu'se'lian'guan'shu 曙色连关树
'shu'shi'can'bing'hun'shou'hei 数十残兵浑瘦黑
'shu'you'wei'de'jiao'qi'qi 术犹未得骄其妻
'shu'yu'han'cheng'da'er'geng 疏雨寒城打二更
'shu'yu'you'bei'huan 数语有悲欢
'shu'yuan'dan'yang'lin'gu'yi 树远丹阳临古驿
'shu'zhan'qing'luo'bu'ke'pan 蜀栈青骡不可攀
'shu'zhi'hai'tou'qi 数纸还投弃
'shu'zhi'song'jia'shuang'wu'tong 树之松槚双梧桐
'shu'zhong'huan'fu'xi 孰踵萑苻习
'shu'zhong'jian'tao'ye 书中见桃叶
'shuai'liu'geng'tian'shuang'hou'se 衰柳更添霜后色
'shuang'han'yue'ruo'hang'dang'lai 霜寒月若行当来
'shuang'huan'duan'xiu'can'ren'jian 双鬟短袖惭人见
'shuang'jiao'yi'sheng'cao'mu'ai 霜角一声草木哀
'shuang'yan'wei'ren'de 双雁为人得
'shuang'zhong'shi'jing'qi 霜重湿旌旗
'shui'bian'jing'wei'zhe'jiang'chao 水边精卫浙江潮
'shui'bo'bu'dai'chun'sheng'hou 水波不待春生后
'shui'ci'lin'ju'jie'wei'xiao 水次鳞居接苇萧
'shui'cong'jiu'dian'bian'qi'zhou 谁从九点辨齐州
'shui'dao'she'xiang'yi'fu'ren 谁道奢香一妇人
'shui'di'chang'jing'zuo'ren'li 水底长鲸作人立
'shui'diao'liang'zhou'ge'xu'xu 水调凉州歌续续
'shui'fang'chun'yun'xia'qu'qiong 谁放春云下曲琼
'shui'hua'zhong'yuan'san'jiu'he 水划中原散九河
'shui'jia'cun'li'wen'xi'shi 谁家村里问西施
'shui'jia'yu'mian'nv 谁家玉面女
'shui'jiang'chun'se'lai'can'die 谁将春色来残堞
'shui'lian'fu'que'shang'shu'hai 谁怜伏阙上书还
'shui'luo'shang'cun'qin'dai'shi 水落尚存秦代石
'shui'neng'meng'li'zu'chang'jin 谁能梦里足长禁
'shui'neng'wei'wo'zhi'lin'feng 谁能为我致麟凤
'shui'qi'dong'shan'an'shi'wo 谁起东山安石卧
'shui'qin'lu'qin'ge'zhen'miao 水禽陆禽各臻妙
'shui'shang'lou'tai'si'hua'tu 水上楼台似画图
'shui'shi'hua'qian'ting'ge'zhe 谁是花前听歌者
'shui'si'zhang'zhong'ren 谁似掌中人
'shui'ti'ming'yue'tian'shang'xuan 谁提明月天上悬
'shui'tun'san'chu'bai 水吞三楚白
'shui'yan'duo'di'yong'wei'li 谁言堕地永为厉
'shui'yan'tian'xia'xiao 谁言天下小
'shui'yun'shen'chu'ban'ou'fei 水云深处伴鸥飞
'shui'yun'xing'duo'lu 谁云行多露
'shui'zhi'shan'yang'di 谁知山阳笛
'shui'zhi'yi'ju'ru'luo'yi 谁知一举入罗弋
'shun'bi'jue'zi'fen'hao'mao 吮笔决眦分毫毛
'shuo'feng'chui'sha'qiu'cao'huang 朔风吹沙秋草黄
'shuo'feng'han'xue'gong'tun'sheng 朔风寒雪共吞声
'shuo'feng'juan'di'tian'yu'sha 朔风卷地天雨沙
'shuo'feng'lu'jiu'bu'cheng'zui 朔风虏酒不成醉
